dwID	dwStartID	dwFinishID	szName	szRewardPath	szNamePath	nNameFrame	szFirstPagePath	szTaskTracePath	nTaskTraceFrame	szOpenPath	nOpenFrame	szRewardType	szOpenRewardPath	bHide	nStartQuestID	nFinishQuestID	nClassify	bPerfect	szReward	szMobileNamePath	szMobileOpenNamePath	buffList	szFront	nCampCanSee	nRelation	RewdItem
10	519	546	炼狱厨神	ui\Image\Adventure\reward\lianyuchushen.tga	ui\Image\UICommon\LuckyMeeting2.UITex	14	ui\Image\Adventure\catalogue\lianyuchushen.tga	ui\Image\UICommon\LuckyMeeting.UITex	33	ui\Image\UICommon\LuckyMeeting7.UITex	32		ui\Image\Adventure\reward\Open\lianyuchushen_Open.tga				2			Resource\Adventure\AdventureName\炼狱厨神.png	Resource\Adventure\OpenName\炼狱厨神.png	28924,1	江湖资历达到3万\n学会烹饪技艺			5_52783;5_52765;5_25766;
11	559	560	茶馆悬赏	ui\Image\Adventure\reward\cgxs.tga	ui\Image\UICommon\LuckyMeeting2.UITex	17	ui\Image\Adventure\catalogue\cgxs.tga	ui\Image\UICommon\LuckyMeeting.UITex	35	ui\Image\UICommon\LuckyMeeting7.UITex	7		ui\Image\Adventure\reward\Open\cgxs_Open.tga	1			2			Resource\Adventure\AdventureName\茶馆悬赏.png	Resource\Adventure\OpenName\茶馆悬赏.png					8_13902;
12	589	630	清茗经	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	4	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	29	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\清茗小龟_Open.tga	1			1			Resource\Adventure\AdventureName\清茗经.png	Resource\Adventure\OpenName\开启文字.png		完成[密宗宝图]任务			
13	631	670	胜负局	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	5	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	30	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\蟹胜蟹负_Open.tga	1			1			Resource\Adventure\AdventureName\胜负局.png	Resource\Adventure\OpenName\开启文字.png					
14	671	710	归乡路	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	1	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	26	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\童心客_Open.tga	1			1			Resource\Adventure\AdventureName\归乡路.png	Resource\Adventure\OpenName\开启文字.png					
15	711	730	枫林酒	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	0	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	25	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui/Image/Adventure/reward/Open/pet/枫林客_Open.tga	1			1	0		Resource\Adventure\AdventureName\枫林酒.png	Resource\Adventure\OpenName\开启文字.png					
16	731	770	红衣歌	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	3	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	28	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\红绸_Open.tga	1			1			Resource\Adventure\AdventureName\红衣歌.png	Resource\Adventure\OpenName\开启文字.png					
17	771	800	捉妖记	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	9	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	31	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\酒客_Open.tga	1			1			Resource\Adventure\AdventureName\捉妖记.png	Resource\Adventure\OpenName\开启文字.png					
18	801	830	孩童书	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	2	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	27	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\一杠_Open.tga	1			1			Resource\Adventure\AdventureName\孩童书.png	Resource\Adventure\OpenName\开启文字.png					
19	843	864	清风捕王	ui\Image\Adventure\reward\qingfengbuwang.tga	ui\Image\UICommon\LuckyMeeting2.UITex	16	ui\Image\Adventure\catalogue\qingfengbuwang.tga	ui\Image\UICommon\LuckyMeeting.UITex	34	ui\Image\UICommon\LuckyMeeting7.UITex	33		ui\Image\Adventure\reward\Open\qingfengbuwang_Open.tga	0			2			Resource\Adventure\AdventureName\清风捕王.png	Resource\Adventure\OpenName\清风捕王.png	28925,1	江湖资历达到2.5万\n获得捕快资格			8_13921;5_25803;5_26028;
20	841	840	扶摇九天	ui\Image\Adventure\reward\fuyaojiutian.tga	ui\Image\UICommon\LuckyMeeting2.UITex	10	ui\Image\Adventure\catalogue\fuyaojiutian.tga	ui\Image\UICommon\LuckyMeeting.UITex	32	ui\Image\UICommon\LuckyMeeting7.UITex	31		ui\Image\Adventure\reward\Open\fuyaojiutian_Open.tga				2		5;25865	Resource\Adventure\AdventureName\扶摇九天.png	Resource\Adventure\OpenName\扶摇九天.png		江湖资历达到2万\n等级升到满级			5_25865;
21	865	910	塞外宝驹	ui\Image\Adventure\reward\swbj.tga	ui\Image\UICommon\LuckyMeeting2.UITex	18	ui\Image\Adventure\catalogue\swbj.tga	ui\Image\UICommon\LuckyMeeting.UITex	36	ui\Image\UICommon\LuckyMeeting7.UITex	8		ui\Image\Adventure\reward\Open\swbj_Open.tga				2	1		Resource\Adventure\AdventureName\塞外宝驹.png	Resource\Adventure\OpenName\塞外宝驹.png	28927,1	完成[套马宗师]成就\n完成[驯马宗师]成就\n完成[套马·伯乐之才]成就\n完成[捐马助军]\n江湖资历达到3万点			8_16782;5_25847;
22			天涯无归	ui\Image\Adventure\reward\tywg.tga	ui\Image\UICommon\LuckyMeeting2.UITex	27	ui\Image\Adventure\catalogue\tywg.tga	ui\Image\UICommon\LuckyMeeting.UITex	37	ui\Image\UICommon\LuckyMeeting7.UITex	9		ui\Image\Adventure\reward\Open\tywg_Open.tga		14833	14849	2			Resource\Adventure\AdventureName\天涯无归.png	Resource\Adventure\OpenName\天涯无归.png	28928,1	宠物分数超过3500			8_13922;
23	913	954	世外奇人（废弃ID）	ui\Image\Adventure\reward\阴阳两界.tga	ui\Image\UICommon\LuckyMeeting2.UITex	26	ui\Image\Adventure\catalogue\yinyangliangjie.tga	ui\Image\UICommon\LuckyMeeting.UITex	14	ui\Image\UICommon\LuckyMeeting7.UITex	6		ui\Image\Adventure\reward\Open\阴阳两界_Open.tga	1			2	1		Resource\Adventure\AdventureName\阴阳两界.png	Resource\Adventure\OpenName\阴阳两界.png					
24	955	992	桃花树（废弃ID）	ui\Image\Adventure\reward\阴阳两界.tga	ui\Image\UICommon\LuckyMeeting2.UITex	26	ui\Image\Adventure\catalogue\yinyangliangjie.tga	ui\Image\UICommon\LuckyMeeting.UITex	14	ui\Image\UICommon\LuckyMeeting7.UITex	6		ui\Image\Adventure\reward\Open\阴阳两界_Open.tga	1			2	0		Resource\Adventure\AdventureName\阴阳两界.png	Resource\Adventure\OpenName\阴阳两界.png					
25	993	1008	沙海谣	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	29	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	40	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\沙海谣_Open.tga	1			1	0		Resource\Adventure\AdventureName\沙海谣2.png	Resource\Adventure\OpenName\开启文字.png					
26	1009	1024	石敢当	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	30	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	42	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\石敢当_Open.tga	1			1	0		Resource\Adventure\AdventureName\石敢当2.png	Resource\Adventure\OpenName\开启文字.png					
27	1025	1040	荆轲刺	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	28	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	38	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\荆轲刺_Open.tga	1			1	0		Resource\Adventure\AdventureName\荆轲刺2.png	Resource\Adventure\OpenName\开启文字.png					
28	1053	1066	破晓鸣	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	33	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	43	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\pxm_Open.tga	1			1	0		Resource\Adventure\AdventureName\破晓鸣2.png	Resource\Adventure\OpenName\开启文字.png					
29	1067	1078	竹马情	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	35	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	45	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\zmq_Open.tga	1			1	0		Resource\Adventure\AdventureName\竹马情2.png	Resource\Adventure\OpenName\开启文字.png					
30	1079	1098	至尊宝	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	34	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	44	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\zzb_Open.tga	1			1	0		Resource\Adventure\AdventureName\至尊宝2.png	Resource\Adventure\OpenName\开启文字.png					
31	1099	1118	护佑苍生	ui\Image\Adventure\reward\hycs.tga	ui\Image\UICommon\LuckyMeeting2.UITex	38	ui\Image\Adventure\catalogue\bxtx.tga	ui\Image\UICommon\LuckyMeeting.UITex	46	ui\Image\UICommon\LuckyMeeting7.UITex	36		ui\Image\Adventure\reward\Open\hycs_Open.tga				2	0		Resource\Adventure\AdventureName\护佑苍生.png	Resource\Adventure\OpenName\护佑苍生.png	19080,1	江湖资历达到3万\n完成[千里平波]成就\n完成[镖局贵客]成就\n完成[兼爱非攻]成就\n等级升到满级			8_18308;
32	1119		虎啸山林	ui\Image\Adventure\reward\hxsl.tga	ui\Image\UICommon\LuckyMeeting2.UITex	32	ui/Image/Adventure/catalogue/hxsl.tga	ui\Image\UICommon\LuckyMeeting.UITex	39	ui\Image\UICommon\LuckyMeeting7.UITex	35		ui\Image\Adventure\reward\Open\hxsl_Open.tga			15660	2	0	8;18347	Resource\Adventure\AdventureName\虎啸山林目录标题.png	Resource\Adventure\OpenName\虎啸山林奇遇开启.png	19079,1	江湖资历达到3万\n完成[傲意战魂！第十四阶]成就\n[拔牙！]成就计数达到2万\n完成[万军取将]成就\n绿林身份达到4级\n等级升到满级			8_18347;
33	1162	1174	乱世舞姬	ui\Image\Adventure\reward\lswj.tga	ui\Image\UICommon\LuckyMeeting2.UITex	37	ui\Image\Adventure\catalogue\lswj.tga	ui\Image\UICommon\LuckyMeeting.UITex	47	ui\Image\UICommon\LuckyMeeting7.UITex	37		ui\Image\Adventure\reward\Open\lswj_Open.tga				2		5;26843	Resource\Adventure\AdventureName\乱世舞姬(1).png	Resource\Adventure\OpenName\乱世舞姬.png	28930,1	江湖资历达到3万\n完成[舞动京华]成就\n完成[婉若游龙]成就\n等级升到满级			5_26843;
34	1125	1172	兽王佩	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	36	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	48	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui\Image\Adventure\reward\Open\pet\swp_Open.tga	1			1			Resource\Adventure\AdventureName\兽王佩.png	Resource\Adventure\OpenName\开启文字.png					
35	1177	1204	稚子心	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	41	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	51	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui/Image/Adventure/reward/Open/稚子心_Open.tga	1			1			Resource\Adventure\AdventureName\稚子心t.png	Resource\Adventure\OpenName\开启文字.png					
36	1205	1254	青草歌	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	40	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	50	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui/Image/Adventure/reward/Open/青草歌_Open.tga	1			1			Resource\Adventure\AdventureName\青草歌t.png	Resource\Adventure\OpenName\开启文字.png					
37	1237	1252	滇南行	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	39	ui/Image/Adventure/catalogue/cwqy.tga	ui\Image\UICommon\LuckyMeeting.UITex	49	ui\Image\UICommon\LuckyMeeting7.UITex	30		ui/Image/Adventure/reward/Open/滇南行_Open.tga	1			1			Resource\Adventure\AdventureName\滇南行t.png	Resource\Adventure\OpenName\开启文字.png					
40			雪山恩仇	ui/Image/Adventure/reward/xsec.tga	ui\Image\UICommon\LuckyMeeting2.UITex	43	ui/Image/Adventure/catalogue/xsec.tga	ui\Image\UICommon\LuckyMeeting.UITex	52	ui\Image\UICommon\LuckyMeeting7.UITex	39		ui/Image/Adventure/reward/Open/xsec_Open.tga		16393	16408	2			Resource\Adventure\AdventureName\目录标题-雪山恩仇.png	Resource\Adventure\OpenName\39.png	28931,1	完成[乐善好施]成就\n满级且加入门派			6_14830;6_14831;6_14832;6_14833;6_14834;6_14835;6_14836;6_14837;6_14838;6_14839;6_14840;6_14841;6_14842;6_14843;6_21217;6_23377;6_26465;6_30458;6_34248;6_36766;
41	1255	1268	平生心愿	ui\Image\Adventure\reward\psxy.tga	ui\Image\UICommon\LuckyMeeting2.UITex	42	ui\Image\Adventure\catalogue\psxy.tga	ui\Image\UICommon\LuckyMeeting.UITex	53	ui\Image\UICommon\LuckyMeeting7.UITex	38		ui\Image\Adventure\reward\Open\psxy_Open.tga	0			2		5;40608	Resource\Adventure\AdventureName\目录标题-平生心愿.png	Resource\Adventure\OpenName\奇遇开启1.png	28932,1	等级升到满级			5_68458;5_40608_480;
42	1283		北行镖	ui\Image\Adventure\reward\bxb.tga	ui\Image\UICommon\LuckyMeeting2.UITex	44	ui/Image/Adventure/catalogue/bxb.tga	ui\Image\UICommon\LuckyMeeting.UITex	54	ui\Image\UICommon\LuckyMeeting7.UITex	41		ui/Image/Adventure/reward/Open/北行镖_Open.tga	0		17051	1			Resource\Adventure\AdventureName\北行镖3.png	Resource\Adventure\OpenName\北行镖.png					
43			东海客	ui\Image\Adventure\reward\dhk.tga	ui\Image\UICommon\LuckyMeeting2.UITex	45	ui\Image\Adventure\catalogue\dhk.tga	ui\Image\UICommon\LuckyMeeting.UITex	55	ui\Image\UICommon\LuckyMeeting7.UITex	40		ui\Image\Adventure\reward\Open\dhk_Open.tga		16882	16938	1			Resource\Adventure\AdventureName\东海客3.png	Resource\Adventure\OpenName\东海客1.png					
44			关外商	ui\Image\Adventure\reward\gws.tga	ui\Image\UICommon\LuckyMeeting2.UITex	46	ui\Image\Adventure\catalogue\gws.tga	ui\Image\UICommon\LuckyMeeting.UITex	56	ui\Image\UICommon\LuckyMeeting7.UITex	42		ui\Image\Adventure\reward\Open\gws_Open.tga		16886	16922	1			Resource\Adventure\AdventureName\关外商.png	Resource\Adventure\OpenName\关外商3.png					
46	1311		故园风雨	ui\Image\Adventure\reward\故园风雨.tga	ui\Image\UICommon\LuckyMeeting2.UITex	47	ui\Image\Adventure\catalogue\gyfy.tga	ui\Image\UICommon\LuckyMeeting.UITex	57	ui\Image\UICommon\LuckyMeeting7.UITex	43		ui\Image\Adventure\reward\Open\故园风雨_Open.tga			17337	2		8;18301	Resource\Adventure\AdventureName\故园风雨3.png	Resource\Adventure\OpenName\故园风雨1.png	28933,1	江湖资历达到1万\n完成[天衣华服！一]成就\n等级升到满级			8_18301;
47	1313	1338	锋芒展	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	49	ui/Image/Adventure/catalogue/fengmangzhan.tga	ui\Image\UICommon\LuckyMeeting.UITex	59	ui\Image\UICommon\LuckyMeeting7.UITex	45		ui/Image/Adventure/reward/Open/锋芒展_Open.tga	1			1			Resource\Adventure\AdventureName\锋芒展1.png	Resource\Adventure\OpenName\锋芒展2.png					
48	1339	1356	烹调法	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	50	ui/Image/Adventure/catalogue/pengtiaofa.tga	ui\Image\UICommon\LuckyMeeting.UITex	60	ui\Image\UICommon\LuckyMeeting7.UITex	46		ui/Image/Adventure/reward/Open/烹调法_Open.tga	1			1			Resource\Adventure\AdventureName\烹调法1.png	Resource\Adventure\OpenName\烹调法2.png					
49	1357	1370	儿女事	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting2.UITex	48	ui/Image/Adventure/catalogue/ernvshi.tga	ui\Image\UICommon\LuckyMeeting.UITex	58	ui\Image\UICommon\LuckyMeeting7.UITex	44		ui/Image/Adventure/reward/Open/儿女事_Open.tga	1			1			Resource\Adventure\AdventureName\儿女事1.png	Resource\Adventure\OpenName\儿女事2.png					
50			韶华故	ui\Image\Adventure\reward\shg.tga	ui\Image\UICommon\LuckyMeeting2.UITex	51	ui\Image\Adventure\catalogue\shaohuagu.tga	ui\Image\UICommon\LuckyMeeting.UITex	61	ui\Image\UICommon\LuckyMeeting7.UITex	47		ui\Image\Adventure\reward\Open\韶华故_Open.tga		17885	17893	2		5;29452	Resource\Adventure\AdventureName\韶华故1.png	Resource\Adventure\OpenName\韶华故2.png	18993,1				5_29452;
54	1373	1378	锻剑女	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting6.UITex	1	ui/Image/Adventure/catalogue/duanjiannv.tga	ui\Image\UICommon\LuckyMeeting.UITex	63	ui\Image\UICommon\LuckyMeeting7.UITex	53		ui/Image/Adventure/reward/Open/锻剑女_Open.tga	1			1			Resource\Adventure\AdventureName\锻剑女3.png	Resource\Adventure\OpenName\锻剑女2.png		获得[宗师！铸造]或[得道多助]成就			
55	1379	1384	一念间	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting6.UITex	7	ui/Image/Adventure/catalogue/yinianjian.tga	ui\Image\UICommon\LuckyMeeting.UITex	66	ui\Image\UICommon\LuckyMeeting7.UITex	55		ui/Image/Adventure/reward/Open/一念间_Open.tga	1			1			Resource\Adventure\AdventureName\一念间3.png	Resource\Adventure\OpenName\一念间2.png					
56	1385	1390	戎马边	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting6.UITex	2	ui/Image/Adventure/catalogue/rongmabian.tga	ui\Image\UICommon\LuckyMeeting.UITex	64	ui\Image\UICommon\LuckyMeeting7.UITex	54		ui/Image/Adventure/reward/Open/戎马边_Open.tga	1			1			Resource\Adventure\AdventureName\戎马边3.png	Resource\Adventure\OpenName\戎马边2.png					
57	1391	1400	白雪忆	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting6.UITex	0	ui/Image/Adventure/catalogue/baixueyi.tga	ui\Image\UICommon\LuckyMeeting.UITex	62	ui\Image\UICommon\LuckyMeeting7.UITex	52		ui/Image/Adventure/reward/Open/白雪忆_Open.tga	1			1			Resource\Adventure\AdventureName\白雪忆3.png	Resource\Adventure\OpenName\白雪忆2.png					
58	1401	1406	烟花戏·月	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting6.UITex	6	ui/Image/Adventure/catalogue/yanhuaxiyue.tga	ui\Image\UICommon\LuckyMeeting.UITex	65	ui\Image\UICommon\LuckyMeeting7.UITex	51		ui/Image/Adventure/reward/Open/烟花戏月_Open.tga	1			1			Resource\Adventure\AdventureName\烟花戏·月3.png	Resource\Adventure\OpenName\烟花戏·月2.png					
59	1407	1412	烟花戏·春	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting6.UITex	3	ui/Image/Adventure/catalogue/yanhuaqichun.tga	ui\Image\UICommon\LuckyMeeting.UITex	65	ui\Image\UICommon\LuckyMeeting7.UITex	48		ui/Image/Adventure/reward/Open/烟花戏春_Open.tga	1			1			Resource\Adventure\AdventureName\烟花戏·春3.png	Resource\Adventure\OpenName\烟花戏·春2.png					
60	1413	1418	烟花戏·秋	ui\Image\Adventure\reward\三山四海.tga	ui\Image\UICommon\LuckyMeeting6.UITex	5	ui/Image/Adventure/catalogue/yanhuaqiqiu.tga	ui\Image\UICommon\LuckyMeeting.UITex	65	ui\Image\UICommon\LuckyMeeting7.UITex	50		ui/Image/Adventure/reward/Open/烟花戏秋_Open.tga	1			1			Resource\Adventure\AdventureName\烟花戏·秋3.png	Resource\Adventure\OpenName\烟花戏·秋2.png					
