ID	Name	_CATEGORY	UiID	Genre	SubType	DetailType	Quality	Price	BindType	MaxExistTime	MaxExistAmount	MaxDurability	CanStack	CanConsume	CanTrade	CanDestroy	ScriptName	SkillID	SkillLevel	_LEVEL	CoolDownID	RequireLevel	RequireProfessionID	RequireProfessionBranch	RequireProfessionLevel	RequireGender	CanUseOnHorse	CanUseInFight	CanGoodCampUse	CanEvilCampUse	CanNeutralCampUse	AucGenre	AucSubType	RequireForce	RequireCamp	TargetType	Prefix	Postfix	EnchantID	BoxID	ExistType	MapBanUseItemMask	IgnoreBindMask	BelongForceMask	CanShared	MapBanTradeItemMask	MapCanExistItemMask	BelongSchoolMask
26	衣冠	昆仑	14542	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1																	
27	沉香木鱼	昆仑	14543	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
28	狼皮大衣	昆仑	14544	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
29	肥硕的鱼	昆仑	14545	2	0	0	1	0	3	0	20	20	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
30	欲仙丸	昆仑	14546	2	0	0	1	0	3	0	10	10	1	1	0	1	scripts\Map\昆仑\item\欲仙丸.lua	0	0	0	0		0	0	0	0	0	1	1	1	1	0	0															
31	模糊的诗词	寇岛	3014	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
32	幽冥草	昆仑	14547	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
33	新建商店道具	默认分类	3090	3	0	0	1	0	1	0	0	1	1	0	1	1		0	0	0																												
34	白龙参	昆仑	14548	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
35	狐血	昆仑	14549	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
36	补药	昆仑	14550	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
37	熬好的补药	昆仑	14551	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\昆仑\item\熬好的补药.lua	0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
38	锦囊	昆仑	14552	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
39	古琴	昆仑	14553	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
40	雪灵芝	昆仑	14554	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
41	离花散	昆仑	14555	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
42	遗书	昆仑	14556	2	0	0	1	0	3	0	8	8	1	1	0	1	scripts\Map\昆仑\item\遗书.lua	0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
43	竹枝	昆仑	14557	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
44	碧螺春	昆仑	14558	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\昆仑\item\碧螺春.lua	0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
45	昆仑派掌门之信	昆仑	14559	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
46	千针草	昆仑	14560	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
47	治伤之药	昆仑	14561	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
48	千年冰魄	昆仑	14562	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
49	漓草	昆仑	14563	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
50	天石	昆仑	14564	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
51	燃烧的火把	寇岛	3123	2	0	0	1	0	3	0	1		1	1	0	1		0	0	0																												
52	无血花	洛道	3124	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																												
53	碧玉茯苓	纯阳	3125	2	0	0	1	0	3	0	5	5	1	1	0	1	scripts\Map\纯阳\item\碧玉茯苓.lua	107	2	0																												
54	心愿	寇岛	3127	2	0	0	2	0	3	0	0	1	1	0	0	1		0	0	0																												
55	海图之一	寇岛	1847	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
56	海图之二	寇岛	1848	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
57	海图之三	寇岛	3128	2	0	0	1	0	3	0	1	1		1	0	1	scripts\Map\寇岛\item\海图之三.lua	0	0	0																												
58	海图之四	寇岛	1866	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
59	燕笛	昆仑	14565	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\昆仑\item\燕笛.lua	0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
60	火蛇果	寇岛	3130	2	0	0	1	0	3	0	4	4	1	1	0	1		0	0	0																												
61	毒蝎尾	寇岛	3131	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																												
62	皮毛	昆仑	14567	2	0	0	1	10	3	0	20	20	1	1		1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
63	稀奇的草药	寇岛	3133	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																												
64	蜈蚣干	寇岛	3134	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																												
65	八岐神酒	寇岛	3135	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\寇岛\item\八歧神酒.lua	0	0	0								1																				
66	毒尸的血液	洛道	3136	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																												
67	夜招魂	洛道	3137	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																												
68	空瓶	洛道	3138	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																												
69	神策士兵的武器	洛道	3139	2	0	0	1	0	3	0	0	30	1	1	0	1		0	0	0																												
70	木柴	昆仑	14568	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
71	经书	寇岛	3141	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
72	奇怪的纸页	寇岛	3142	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
73	模糊的图样	寇岛	3143	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
74	散落的纸页	寇岛	3144	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
75	破旧的信纸	寇岛	3145	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
76	残破的纸页	寇岛	3146	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
77	奇怪的诗词	寇岛	3147	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
78	奇怪的话语	寇岛	3148	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
79	古怪的诗词	寇岛	3149	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
80	陈旧的纸张	寇岛	3150	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
81	古怪的话语	寇岛	3151	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
82	古老的诗词	寇岛	3152	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
83	古老的话语	寇岛	3153	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
84	陈旧的纸页	寇岛	3154	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
85	藏宝图十四	寇岛	3155	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
86	藏宝图十五	寇岛	3156	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
87	奇异的诗词	寇岛	3157	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
88	丢失的纸页	寇岛	3158	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
89	神奇的日记	寇岛	3159	2	0	0	2	0	3	0	1	1	1	0	0	1	scripts\Map\金水镇\item\神奇的日记.lua	0	0	0																												
90	残破的纸张	寇岛	3160	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
91	简短的诗词	寇岛	3161	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
92	工整的诗词	寇岛	3162	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
93	神奇的谜语	寇岛	3163	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
94	失落的纸张	寇岛	3164	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
95	丢失的纸页	寇岛	3165	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
96	腰牌	寇岛	3166	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
97	简短的话语	寇岛	3167	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
98	凄美的诗词	寇岛	3168	2	0	0	2	0	3	0	1	1	1	0	0	1		0	0	0																												
99	荣恩令	声望道具	14569	2	0	0	0	20000	3	0	0	100	1	1	1	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
100	红木礼盒	洛道	3169	2	0	0	1	4	3	0	0	1	1	0	0	1		0	0	0																												
101	被夺的粮草	昆仑	14570	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
102	狼毫	默认分类	61	3	0	0	1	4	1	0	0	20	1	1	1	1		0	0	0																												
103	兔毫	默认分类	62	3	0	0	1	150	1	0	0	20	1	1	1	1		0	0	0																												
104	伤药	昆仑	14571	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
105	木子花	昆仑	14572	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
106	千年蚕冰	日轮山城	14573	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
107	忘忧草	默认分类	304	3	0	0	1	95	1	0	0	20	1	1	1	1		0	0	0																												
108	根雕	默认分类	305	3	0	0	1	224	1	0	0	20	1	1	1	1		0	0	0																												
109	破裂的棋子碎片	天子峰	14575	3	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
110	白棋	天子峰	14576	3	0	0	1	0	3	0	1	1	1	0	0	1	scripts/Map/天子峰/item/白棋.lua	0	0	0	146		0	0	0	0	1	1	1	1	1	0	0															
111	鱼根草	日轮山城	14577	2	0	0	1	0	3	0	3	3	1	1	0	1		0	0	10	0		0	0	0	0	0	0	1	1	1	0	0															
112	毒水	昆仑	14578	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
113	猿肉	默认分类	310	3	0	0	1	4	1	0	0	20	1	1	1	1		0	0	0																												
114	猿脑	默认分类	311	3	0	0	1	111	1	0	0	10	1	1	1	1		0	0	0																												
115	鹿肉	默认分类	312	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																												
116	鹿筋	默认分类	313	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																												
117	鹿皮	默认分类	314	3	0	0	1	131	1	0	0	10	1	1	1	1		0	0	0																												
118	野狼心	默认分类	315	3	0	0	1	238	1	0	0	20	1	1	1	1		0	0	0																												
119	野狼肉	默认分类	316	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																												
120	恶狼皮	默认分类	317	3	0	0	1	0	1	0	0	10	1	1	1	1		0	0	0																												
121	幼狼毫	默认分类	318	3	0	0		23	1	0	0	10	1	1	1	1		0	0	0												99																
122	硬龟壳	默认分类	319	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																												
123	龟掌肉	默认分类	320	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																												
124	猴肉	默认分类	369	3	0	0	1	5	1	0	0	20	1	1	1	1		0	0	0																												
125	猴皮	默认分类	370	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																												
126	蛛毒	默认分类	1709	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																												
127	蛛卵	默认分类	1710	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																												
128	蛛丝	默认分类	1711	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																												
130	野猪肝	默认分类	547	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																												
131	野猪皮	默认分类	548	3	0	0	1	0	1	0	0	10	1	1	1	1		0	0	0																												
132	新鲜的蔬菜	寇岛	2978	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
133	贡品	寇岛	2979	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																												
134	鱼鸥肉	寇岛	2980	2	0	0	1	0	3	0	3	3	1	1	0	1		0	0	0																												
135	鱼干	寇岛	2981	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
136	海寇的服装	寇岛	2982	2	0	0	1	0	3	0	1		1	1	0	1	scripts\Map\寇岛\item\海寇的衣服.lua	0	0	0																												
137	长矛	寇岛	2983	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
138	野狗皮	寇岛	2984	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																												
139	美食	寇岛	2985	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
140	野菜	寇岛	2986	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																												
141	鱿鱼丸子	寇岛	2987	2	0	0	1	0	3	0	7	7	1	1	0	1		0	0	0																												
142	野花	寇岛	2988	2	0	0	1	0	3	0	4	4	1	1	0	1		0	0	0																												
143	蛇肉	寇岛	2989	2	0	0	1	0	3	0	5	5	1	0	0	1		0	0	0																												
144	唐朝礼服	寇岛	2990	2		0	1	0	3	0	1		1	0	0	1		0	0	0																												
145	胭脂	寇岛	2991	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
146	不知名的草药	寇岛	2992	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																												
147	打包的货物	寇岛	2993	2	0	0	1	0	3	0	1		1	1	0	1		0	0	0																												
148	香料	寇岛	2994	2	0	0	1	0	3	0	1		1	1	0	1		0	0	0																												
149	丢失的货物	寇岛	2995	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																												
150	葫芦	寇岛	2996	2	0	0	1	0	3	0	1		1	0	0	1	scripts\Map\寇岛\item\葫芦.lua	0	0	0																												
151	清凉的山泉	寇岛	2997	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
152	海龟壳	寇岛	2998	2	0	0	1	0	3	0	2	2	1	1	0	1		0	0	0																												
153	石块	寇岛	2999	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
154	蟹子	寇岛	3000	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																												
155	海星	寇岛	3001	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																												
156	无瓣桑	寇岛	3002	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
157	水晶瓶	寇岛	3003	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
158	萤火虫	寇岛	3004	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
159	虫网	寇岛	3005	2	0	0	1	0	3	0	1		1	0	0	1	scripts\Map\寇岛\item\虫网.lua	0	0	0																												
160	海中灯	寇岛	3006	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																												
161	大颗的珍珠	寇岛	3007	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																												
162	龟胆	寇岛	3008	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																												
163	蔓荆	寇岛	3009	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																												
164	徐淮的日记	寇岛	3010	2	0	0	1	0	3	0	1		1	0	0	1	scripts\Map\寇岛\item\徐淮的日记.lua	0	0	0																												
165	好人卡	寇岛	3170	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0																												
166	装满心愿的水晶瓶	寇岛	3171	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0																												
167	装满萤火虫的水晶瓶	寇岛	3172	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\寇岛\item\装满萤火虫的水晶瓶.lua	0	0	0																												
168	没有送出的信件	洛道	3173	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
169	熊皮	昆仑	14579	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
170	半个玉佩	洛道	3175	2	0	0	1	0	3	0	1	1	0	0	0	1	scripts\Map\洛道\item\半个白玉佩.lua	0	0	0																												
171	测试套餐道具	测试用	3176	3	0	0	1	0	1	0	0	10	1	1	0	1	scripts\Craft\套餐道具使用.lua	0	0	0																												
172	阿雪亲笔信	日轮山城	14580	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0	0		0	0	0	0	0	0	1	1	1	0	0															
173	孟婆花	洛道	3178	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																												
174	孟婆汤	洛道	3179	2	0	0	1	0	3	0	1	1	0	0	0	1		0	0	0																												
175	毒人残骸	洛道	3180	2	0	0	1	0	3	0	1	1	0	0	0	1		0	0	0																												
176	清风寨密信	纯阳	3181	2	0	0	1	0	3	0	1	1	0	0	0	1		0	0	0																												
177	被夺的药材	纯阳	3182	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																												
178	完美的绿色血液	洛道	3183	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																												
179	王阳炼成的长生丹	纯阳	3184	2	0	0	1	0	3	0	1	1	0	0	0	1		0	0	0																												
180	黑铁石	纯阳	3185	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\纯阳\item\黑铁石.lua	0	0	0																												
181	光滑的黑铁石	纯阳	3186	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
182	山石道人伪造的书信	纯阳	3187	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
183	包裹	寇岛	3188	2	0	0	1	0	3	0	2	2	1	1	0	1		0	0	0																												
184	狗肉	寇岛	3189	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																												
185	青铜器	寇岛	3190	2	0	0	1	0	3	0	1	1		0	0	1		0	0	0																												
186	整蟹	寇岛	3191	2	0	0	1	0	3	0	3	3	1	1	0	1		0	0	0																												
187	酒	寇岛	3192	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
188	崭新的书信	洛道	3193	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0																												
189	熊掌汤	洛道	3194	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0																												
190	巨蜈蚣的毒液	洛道	3195	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																												
191	锄头	生活技艺_工具	64	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																												
192	锤子	生活技艺_工具	65	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																												
193	铲子	生活技艺_工具	66	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																												
194	小药臼	生活技艺_工具	67	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																												
195	绣花针	生活技艺_工具	68	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																												
196	庖丁小刀	生活技艺_工具	69	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																												
197	小花的遗体	洛道	3196	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
198	坚壳蝎子的尾巴	洛道	3197	2	0	0	1	0	3	0	4	4	1	1	0	1		0	0	0																												
199	碧眼蟾蜍的薄膜	洛道	3198	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																												
200	马鞭	洛道	3199	2	0	0	1	0	3	0	0	1	1	0	0	1	scripts\Map\洛道\item\马鞭.lua	0	0	0	207																											
201	脏兮兮的猪尾巴	默认分类	70	3	0	0	0	32	1	0	0	10	1	1	1	1		0	0	0												99																
202	野猪獠牙	默认分类	71	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0												99																
203	猪蹄子	默认分类	72	3	0	0	0	5	1	0	0	5	1	1	1	1		0	0	0												99																
204	猪大肠	默认分类	73	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0												99																
205	鸡骨头碎片	默认分类	74	3	0	0	0	0	1	0	0	10	1	1	1	1		0	0	0												99																
206	腐烂的兔子	默认分类	75	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0												99																
207	锋利的狼牙	默认分类	76	3	0	0	0	5	1	0	0	5	1	1	1	1		0	0	0												99																
208	带血的鸡毛	默认分类	77	3	0	0	0	3	1	0	0	10	1	1	1	1		0	0	0												99																
209	动物皮	默认分类	78	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0												99																
210	肉筋	默认分类	79	3	0	0	0	5	1	0	0	5	1	1	1	1		0	0	0												99																
211	一串蛇骨	默认分类	80	3	0	0	0	5	1	0	0	5	1	1	1	1		0	0	0												99																
212	狗爪子	默认分类	81	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0												99																
213	狗牙	默认分类	82	3	0	0	0	1	1	0	0	10	1	1	1	1		0	0	0												99																
214	鸡肠	默认分类	83	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0												99																
215	鸡蛋	默认分类	84	3	0	0	0	142	1	0	0	5	1	1	1	1		0	0	0												99																
216	闪光的鳞片	默认分类	85	3	0	0	0	0	1	0	0	10	1	1	1	1		0	0	0												99																
217	鱼籽	默认分类	86	3	0	0	0	246	1	0	0	5	1	1	1	1		0	0	0												99																
218	雪白的鹅毛	默认分类	87	3	0	0	0	10	1	0	0	10	1	1	1	1		0	0	0												99																
219	鹅喙	默认分类	88	3	0	0	0	119	1	0	0	10	1	1	1	1		0	0	0												99																
220	白兔尾巴	默认分类	89	3	0	0	0	319	1	0	0	5	1	1	1	1		0	0	0												99																
221	山贼头巾	默认分类	90	3	0	0	0	12	1	0	0	5	1	1	1	1		0	0	0												99																
222	毛手臂	默认分类	321	3	0	0	0	48	1	0	0	20	1	1	1	1		0	0	0												99																
223	新鲜的桃子	默认分类	322	3	0	0	0	2	1	0	0	20	1	1	1	1		0	0	0												99																
224	粗绒毛皮	默认分类	323	3	0	0	0	45	1	0	0	10	1	1	1	1		0	0	0												99																
225	细长的尾巴	默认分类	324	3	0	0	0	155	1	0	0	20	1	1	1	1		0	0	0												99																
226	鹿角	默认分类	325	3	0	0	0	46	1	0	0	10	1	1	1	1		0	0	0												99																
227	新鲜的鹿珍	默认分类	326	3	0	0	0	45	1	0	0	20	1	1	1	1		0	0	0												99																
228	硬蹄子	默认分类	327	3	0	0	0	35	1	0	0	20	1	1	1	1		0	0	0												99																
229	鹿肝	默认分类	328	3	0	0	0	170	1	0	0	10	1	1	1	1		0	0	0												99																
230	鲜兽血	默认分类	329	3	0	0	0	4	1	0	0	20	1	1	1	1		0	0	0												99																
231	密封的包裹	洛道	3200	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																												
232	坚硬的毫毛	默认分类	331	3	0	0	0	166	1	0	0	20	1	1	1	1		0	0	0												99																
233	锋利的兽牙	默认分类	332	3	0	0	0	32	1	0	0	10	1	1	1	1		0	0	0												99																
234	锯齿龟背甲	默认分类	333	3	0	0	0	36	1	0	0	20	1	1	1	1		0	0	0												99																
235	椭圆的小蛋	默认分类	334	3	0	0	0	46	1	0	0	10	1	1	1	1		0	0	0												99																
