ID	Value	ModifyType	Param1Min	Param1Max	Param2Min	Param2Max	Group1	Group2	Group3	Group4	Group5	Group6	Group7	Group8	Group9	Group10
357		atAgilityBase	20	20												
358		atPhysicsCriticalStrike	65	65												
359		atMaxManaAdditional	184	184												
360		atMaxManaAdditional	92	92												
361		atMagicAttackPowerBase	81	81												
362		atStrengthBase	68	68												
363		atAgilityBase	45	45												
364		atPhysicsCriticalStrike	108	108												
365		atStrengthBase	32	32												
366		atPhysicsAttackPowerBase	45	45												
367		atMaxManaAdditional	61	61												
368		atMagicAttackPowerBase	27	27												
369		atMagicAttackPowerBase	45	45												
370		atTherapyPowerBase	180	180												
371		atStrengthBase	75	75												
372		atAgilityBase	50	50												
373		atPhysicsCriticalStrike	119	119												
374		atSpiritBase	42	42												
375		atSpunkBase	40	40												
376		atMaxManaAdditional	102	102												
377		atSpiritBase	61	61												
378		atAgilityBase	38	38												
379		atVitalityBase	62	62												
380		atAgilityBase	37	37												
381		atDodge	70	70												
382		atPhysicsShieldBase	295	295												
383		atMaxManaAdditional	68	68												
384		atSpunkBase	43	43												
385		atMaxManaAdditional	73	73												
386		atTherapyPowerBase	193	193												
387		atMaxLifeAdditional	100	100												
388		atVitalityBase	66	66												
389		atPhysicsAttackPowerBase	27	27												
390		atMaxLifeAdditional	67	67												
391		atPhysicsShieldBase	316	316												
392		atDodge	75	75												
393		atMaxLifeAdditional	64	64												
394		atMaxManaAdditional	70	70												
395		atMagicAttackPowerBase	21	21												
396		atMaxManaAdditional	46	46												
397		atPhysicsCriticalStrike	82	82												
398		atSpiritBase	48	48												
399		atSpunkBase	46	46												
400		atMaxManaAdditional	116	116												
401		atMagicAttackPowerBase	51	51												
402		atVitalityBase	44	44												
403		atTherapyPowerBase	206	206												
404		atMaxManaAdditional	77	77												
405		atPhysicsCriticalStrike	136	136												
406		atLifeReplenishExt	9	9												
407		atPhysicsShieldBase	337	337												
408		atMaxLifeAdditional	107	107												
409		atStrengthBase	86	86												
410		atVitalityBase	51	51												
411		atSpunkBase	48	48												
412		atMaxManaAdditional	82	82												
413		atMaxManaAdditional	123	123												
414		atVitalityBase	46	46												
415		atPhysicsCriticalStrike	145	145												
416		atPhysicsAttackPowerBase	30	30												
417		atStrengthBase	91	91												
418		atAgilityBase	61	61												
419		atPhysicsCriticalStrike	28	28												
420		atNeutralHitValue	26	26												
421		atNeutralHitValue	65	65												
422		atMagicAttackPowerBase	38	38												
423		atPhysicsCriticalStrike	114	114												
424		atPhysicsCriticalStrike	124	124												
425		atVitalityBase	47	47												
426		atMaxLifeAdditional	71	71												
427		atMagicAttackPowerBase	68	68												
428		atSpunkBase	38	38												
429		atVitalityBase	60	60												
430		atStrengthBase	80	80												
431		atAgilityBase	53	53												
432		atVitalityBase	68	68												
433		atAgilityBase	41	41												
434		atPhysicsCriticalStrike	86	86												
435		atPhysicsCriticalStrike	62	62												
436		atMaxManaAdditional	87	87												
437		atPhysicsCriticalStrike	133	133												
438		atNeutralCriticalStrike	111	111												
439		atNeutralAttackPowerBase	42	42												
440		atTherapyPowerBase	84	84												
441		atVitalityBase	57	57												
442		atAgilityBase	34	34												
443		atMaxLifeAdditional	87	87												
444		atPhysicsCriticalStrike	111	111												
445		atSolarCriticalStrike	111	111												
446		atMaxManaAdditional	95	95												
447		atSolarAttackPowerBase	42	42												
448		atParryBase	45	45												
449		atPhysicsShieldBase	274	274												
450		atPhysicsCriticalStrike	239	239												
451		atPhysicsAttackPowerBase	50	50												
452		atPhysicsCriticalStrike	72	72												
453		atPhysicsAttackPowerBase	15	15												
454		atMagicAttackPowerBase	48	48												
455		atStrengthBase	43	43												
456		atNeutralCriticalStrike	145	145												
457		atNeutralAttackPowerBase	55	55												
458		atTherapyPowerBase	109	109												
459		atSolarAttackPowerBase	36	36												
460		atSolarAttackPowerBase	55	55												
461		atSolarCriticalStrike	145	145												
462		atVitalityBase	75	75												
463		atDodge	85	85												
464		atParryBase	59	59												
465		atAgilityBase	1	1												
466		atMaxLifeAdditional	29	29												
467		atSolarHitValue	59	59												
468		atAgilityBase	11	11												
469		atPhysicsCriticalStrike	158	158												
470		atSpunkBase	36	36												
471		atMagicAttackPowerBase	41	41												
472		atSpiritBase	55	55												
473		atPhysicsCriticalStrike	215	215												
474		atVitalityBase	55	55												
475		atAgilityBase	33	33												
476		atDodge	127	127												
477		atMaxLifeAdditional	169	169												
478		atVitalityBase	1	1												
479		atSpiritBase	1	1												
480		atStrengthBase	1	1												
481		atSpunkBase	1	1												
482		atVitalityBase	2	2												
483		atMaxManaAdditional	28	28												
484		atMaxLifeAdditional	34	34												
485		atMaxManaAdditional	20	20												
486		atMaxManaAdditional	51	51												
487		atMaxLifeAdditional	53	53												
488		atAgilityBase	15	15												
489		atMaxManaAdditional	69	69												
490		atSolarHitValue	81	81												
491		atPhysicsCriticalStrike	87	87												
492		atMagicAttackPowerBase	33	33												
493		atSolarHitValue	84	84												
494		atPhysicsCriticalStrike	45	45												
495		atMaxManaAdditional	83	83												
496		atMaxManaAdditional	86	86												
497		atPhysicsCriticalStrike	50	50												
498		atPhysicsCriticalStrike	107	107												
499		atPhysicsCriticalStrike	54	54												
500		atPhysicsCriticalStrike	55	55												
501		atPhysicsAttackPowerBase	24	24												
502		atMaxManaAdditional	53	53												
503		atSolarAttackPowerBase	23	23												
504		atSolarAttackPowerBase	24	24												
505		atSolarCriticalStrike	64	64												
506		atMaxManaAdditional	56	56												
507		atSolarAttackPowerBase	16	16												
508		atMaxManaAdditional	37	37												
509		atPhysicsAttackPowerBase	28	28												
510		atMaxManaAdditional	115	115												
511		atPhysicsShieldBase	349	349												
512		atStrengthBase	56	56												
513		atMaxManaAdditional	126	126												
514		atPhysicsShieldBase	365	365												
515		atMagicAttackPowerBase	56	56												
516		atStrengthBase	49	49												
517		atMagicAttackPowerBase	58	58												
518		atParryBase	63	63												
519		atMaxManaAdditional	135	135												
520		atPhysicsAttackPowerBase	33	33												
521		atPhysicsCriticalStrike	79	79												
522		atPhysicsAttackPowerBase	34	34												
523		atPhysicsHitValue	149	149												
524		atMagicAttackPowerBase	62	62												
525		atPhysicsCriticalStrike	165	165												
526		atSpiritBase	54	54												
527		atPhysicsShieldBase	208	208												
528		atDodge	34	34												
529		atPhysicsHitValue	53	53												
530		atVitalityBase	56	56												
531		atMagicAttackPowerBase	66	66												
532		atNeutralAttackPowerBase	33	33												
533		atNeutralCriticalStrike	87	87												
534		atPhysicsHitValue	54	54												
535		atPhysicsCriticalStrike	58	58												
536		atPhysicsShieldBase	144	144												
537		atNeutralAttackPowerBase	34	34												
538		atPhysicsCriticalStrike	59	59												
539		atPhysicsShieldBase	147	147												
540		atVitalityBase	58	58												
541		atAgilityBase	35	35												
542		atTherapyPowerBase	46	46												
543		atNeutralAttackPowerBase	23	23												
544		atNeutralHitValue	57	57												
545		atParryValueBase	120	120												
546		atNeutralCriticalStrike	64	64												
547		atVitalityBase	50	50												
548		atPhysicsHitValue	90	90												
549		atPhysicsCriticalStrike	97	97												
550		atNeutralCriticalStrike	195	195												
551		atNeutralAttackPowerBase	37	37												
552		atNeutralHitValue	90	90												
553		atParryBase	40	40												
554		atPhysicsShieldBase	245	245												
555		atMaxManaAdditional	85	85												
556		atMaxManaAdditional	172	172												
557		atMaxManaAdditional	178	178												
558		atNeutralCriticalStrike	208	208												
559		atNeutralAttackPowerBase	81	81												
560		atTherapyPowerBase	162	162												
561		atSpunkBase	47	47												
562		atNeutralHitValue	206	206												
563		atMaxManaAdditional	96	96												
564		atMagicAttackPowerBase	43	43												
565		atPhysicsCriticalStrike	113	113												
566		atVitalityBase	59	59												
567		atMaxManaAdditional	98	98												
568		atStrengthBase	72	72												
569		atAgilityBase	48	48												
570		atMagicAttackPowerBase	12	12												
571		atMaxManaAdditional	99	99												
572		atPhysicsCriticalStrike	116	116												
573		atMaxManaAdditional	100	100												
574		atPhysicsCriticalStrike	118	118												
575		atVitalityBase	74	74												
576		atPhysicsShieldBase	236	236												
577		atParryValueBase	60	60												
578		atPhysicsCriticalStrike	95	95												
579		atPhysicsHitValue	134	134												
580		atParryValueBase	61	61												
581		atPhysicsHitValue	91	91												
582		atDodge	58	58												
583		atPhysicsCriticalStrike	99	99												
584		atSolarCriticalStrike	62	62												
585		atPhysicsAttackPowerBase	7	7												
586		atPhysicsCriticalStrike	31	31												
587		atMaxManaAdditional	62	62												
588		atMagicAttackPowerBase	14	14												
589		atSolarCriticalStrike	67	67												
590		atSolarCriticalStrike	133	133												
591		atMaxManaAdditional	22	22												
592		atMaxLifeAdditional	27	27												
593		atPhysicsCriticalStrike	36	36												
594		atMaxManaAdditional	33	33												
595		atMagicAttackPowerBase	15	15												
596		atMagicAttackPowerBase	8	8												
597		atPhysicsCriticalStrike	42	42												
598		atPhysicsCriticalStrike	44	44												
599		atPhysicsCriticalStrike	46	46												
600		atMagicAttackPowerBase	17	17												
601		atPhysicsAttackPowerBase	5	5												
602		atPhysicsCriticalStrike	23	23												
603		atManaReplenishExt	8	8												
604		atMaxManaAdditional	13	13												
605		atMagicAttackPowerBase	6	6												
606		atTherapyPowerBase	39	39												
607		atDodge	30	30												
608		atPhysicsCriticalStrike	51	51												
609		atPhysicsShieldBase	64	64												
610		atDodge	15	15												
611		atTherapyPowerBase	43	43												
612		atMaxLifeAdditional	22	22												
613		atPhysicsShieldBase	70	70												
614		atPhysicsAttackPowerBase	6	6												
615		atMagicAttackPowerBase	7	7												
616		atMaxManaAdditional	16	16												
617		atMaxLifeAdditional	15	15												
618		atDodge	11	11												
619		atMagicAttackPowerBase	11	11												
620		atMaxManaAdditional	24	24												
621		atMaxManaAdditional	50	50												
622		atPhysicsShieldBase	152	152												
623		atMagicAttackPowerBase	12	12												
624		atMaxManaAdditional	26	26												
625		atMaxLifeAdditional	19	19												
626		atDodge	14	14												
627		atTherapyPowerBase	18	18												
628		atMagicAttackPowerBase	9	9												
629		atTherapyPowerBase	33	33												
630		atMaxLifeAdditional	17	17												
631		atPhysicsShieldBase	55	55												
632		atPhysicsAttackPowerBase	10	10												
633		atMaxManaAdditional	21	21												
634		atPhysicsCriticalStrike	30	30												
635		atNeutralCriticalStrike	30	30												
636		atNeutralAttackPowerBase	11	11												
637		atNeutralCriticalStrike	61	61												
638		atSolarAttackPowerBase	11	11												
639		atSolarCriticalStrike	30	30												
640		atMaxManaAdditional	55	55												
641		atTherapyPowerBase	54	54												
642		atPhysicsAttackPowerBase	8	8												
643		atMaxLifeAdditional	30	30												
644		atPhysicsCriticalStrike	38	38												
645		atDodge	23	23												
646		atPhysicsShieldBase	95	95												
647		atMagicAttackPowerBase	10	10												
648		atMaxManaAdditional	35	35												
649		atTherapyPowerBase	62	62												
650		atMaxManaAdditional	23	23												
651		atMaxLifeAdditional	32	32												
652		atDodge	7	7												
653		atPhysicsShieldBase	67	67												
654		atPhysicsCriticalStrike	24	24												
655		atTherapyPowerBase	20	20												
656		atTherapyPowerBase	36	36												
657		atMaxManaAdditional	42	42												
658		atPhysicsCriticalStrike	66	66												
659		atPhysicsCriticalStrike	67	67												
660		atMaxManaAdditional	11	11												
661		atMaxLifeAdditional	10	10												
662		atLifeReplenishExt	7	7												
663		atMaxManaAdditional	19	19												
664		atPhysicsCriticalStrike	33	33												
665		atTherapyPowerBase	34	34												
666		atTherapyPowerBase	44	44												
667		atMaxLifeAdditional	46	46												
668		atTherapyPowerBase	45	45												
669		atPhysicsShieldBase	74	74												
670		atTherapyPowerBase	50	50												
671		atMaxLifeAdditional	52	52												
672		atSolarAttackPowerBase	9	9												
673		atMaxManaAdditional	15	15												
674		atMaxLifeAdditional	8	8												
675		atMaxLifeAdditional	13	13												
676		atMaxLifeAdditional	55	55												
677		atMaxLifeAdditional	63	63												
678		atPhysicsCriticalStrike	104	104												
679		atMagicAttackPowerBase	35	35												
680		atPhysicsCriticalStrike	47	47												
681		atMaxManaAdditional	27	27												
682		atPhysicsCriticalStrike	26	26												
683		atMaxManaAdditional	78	78												
684		atMaxManaAdditional	36	36												
685		atPhysicsCriticalStrike	85	85												
686		atStrengthBase	45	45												
687		atPhysicsCriticalStrike	64	64												
688		atPhysicsCriticalStrike	96	96												
689		atPhysicsCriticalStrike	110	110												
690		atMaxManaAdditional	94	94												
691		atMagicAttackPowerBase	26	26												
692		atPhysicsCriticalStrike	34	34												
693		atMaxManaAdditional	108	108												
694		atMaxManaAdditional	113	113												
695		atPhysicsCriticalStrike	139	139												
696		atMaxManaAdditional	119	119												
697		atPhysicsCriticalStrike	70	70												
698		atPhysicsCriticalStrike	39	39												
699		atPhysicsCriticalStrike	129	129												
700		atStrengthBase	57	57												
701		atTherapyPowerBase	90	90												
702		atDodge	35	35												
703		atPhysicsCriticalStrike	137	137												
704		atTherapyPowerBase	103	103												
705		atMaxLifeAdditional	54	54												
706		atDodge	40	40												
707		atMagicAttackPowerBase	65	65												
708		atPhysicsAttackPowerBase	32	32												
709		atTherapyPowerBase	116	116												
710		atDodge	91	91												
711		atTherapyPowerBase	65	65												
712		atDodge	25	25												
713		atPhysicsCriticalStrike	91	91												
714		atMaxManaAdditional	112	112												
715		atPhysicsCriticalStrike	169	169												
716		atMaxManaAdditional	144	144												
717		atTherapyPowerBase	99	99												
718		atDodge	39	39												
719		atPhysicsCriticalStrike	75	75												
720		atTherapyPowerBase	114	114												
721		atPhysicsShieldBase	233	233												
722		atDodge	55	55												
723		atTherapyPowerBase	128	128												
724		atDodge	50	50												
725		atMagicAttackPowerBase	18	18												
726		atTherapyPowerBase	71	71												
727		atPhysicsShieldBase	116	116												
728		atDodge	28	28												
729		atStrengthBase	41	41												
730		atMaxManaAdditional	166	166												
731		atPhysicsCriticalStrike	182	182												
732		atTherapyPowerBase	108	108												
733		atPhysicsShieldBase	355	355												
734		atMagicAttackPowerBase	31	31												
735		atTherapyPowerBase	124	124												
736		atLifeReplenishExt	6	6												
737		atTherapyPowerBase	139	139												
738		atMaxLifeAdditional	145	145												
739		atTherapyPowerBase	77	77												
740		atDodge	60	60												
741		atPhysicsAttackPowerBase	31	31												
742		atSpiritBase	53	53												
743		atVitalityBase	49	49												
744		atMaxManaAdditional	10	10												
745		atMaxLifeAdditional	9	9												
746		atMaxLifeAdditional	33	33												
747		atMaxLifeAdditional	36	36												
748		atNeutralCriticalStrike	32	32												
749		atNeutralAttackPowerBase	13	13												
750		atMagicAttackPowerBase	22	22												
751		atMaxLifeAdditional	44	44												
752		atNeutralAttackPowerBase	41	41												
753		atMaxManaAdditional	97	97												
754		atMaxManaAdditional	49	49												
755		atNeutralHitValue	109	109												
756		atNeutralCriticalStrike	28	28												
757		atNeutralAttackPowerBase	16	16												
758		atNeutralHitValue	40	40												
759		atPhysicsCriticalStrike	89	89												
760		atNeutralHitValue	41	41												
761		atNeutralAttackPowerBase	17	17												
762		atMagicAttackPowerBase	49	49												
763		atNeutralHitValue	28	28												
764		atNeutralCriticalStrike	31	31												
765		atMagicAttackPowerBase	25	25												
766		atPhysicsCriticalStrike	68	68												
767		atMaxManaAdditional	105	105												
768		atTherapyPowerBase	117	117												
769		atPhysicsCriticalStrike	63	63												
770		atPhysicsCriticalStrike	71	71												
771		atNeutralHitValue	75	75												
772		atMagicAttackPowerBase	50	50												
773		atStrengthBase	52	52												
774		atMaxLifeAdditional	132	132												
775		atMaxManaAdditional	104	104												
776		atNeutralHitValue	81	81												
777		atPhysicsShieldBase	108	108												
778		atPhysicsHitValue	40	40												
779		atDodge	26	26												
780		atSolarCriticalStrike	140	140												
781		atPhysicsCriticalStrike	140	140												
782		atStrengthBase	50	50												
783		atPhysicsCriticalStrike	157	157												
784		atMaxManaAdditional	134	134												
785		atMagicAttackPowerBase	47	47												
786		atNeutralHitValue	83	83												
787		atSolarHitValue	83	83												
