ID	Name	UiID	RepresentDec	RepresentID	ColorID	ColorID1	ColorID2	Genre	SubType	DetailType	Price	Level	BindType	MaxDurability	AbradeRate	MaxExistTime	MaxExistAmount	CanTrade	CanDestroy	SetID	ScriptName	Quality	Base1Type	Base1Min	Base1Max	Base2Type	Base2Min	Base2Max	Base3Type	Base3Min	Base3Max	Base4Type	Base4Min	Base4Max	Base5Type	Base5Min	Base5Max	Base6Type	Base6Min	Base6Max	Require1Type	Require1Value	Require2Type	Require2Value	Require3Type	Require3Value	Require4Type	Require4Value	Require5Type	Require5Value	Require6Type	Require6Value	Magic1Type	Magic2Type	Magic3Type	Magic4Type	Magic5Type	Magic6Type	Magic7Type	Magic8Type	Magic9Type	Magic10Type	Magic11Type	Magic12Type	Magic13Type	Magic14Type	Magic15Type	Magic16Type	SkillID	SkillLevel	BelongSchool	MagicKind	MagicType	GetType	_CATEGORY	CoolDownID	IconTag1	IconTag2	IsSpecialIcon	IsSpecialRepresent	CanSetColor	AucGenre	AucSubType	RequireCamp	RequireProfessionID	RequireProfessionLevel	RequireProfessionBranch	PackageGenerType	PackageSubType	TargetType	EnchantRepresentID1	EnchantRepresentID2	EnchantRepresentID3	EnchantRepresentID4	ExistType	DiamondTypeMask1	DiamondAttributeID1	DiamondTypeMask2	DiamondAttributeID2	DiamondTypeMask3	DiamondAttributeID3	EquipCoolDownID	RecommendID	MaxStrengthLevel	CanApart	MapBanUseItemMask	IgnoreBindMask	CanExterior	BelongForceMask	Represent1	SpecialRepair	CanChangeMagic	GrowthTabIndex	NeedGrowthExp	CanShared	MapBanTradeItemMask	MapCanExistItemMask	MapBanEquipItemMask	EquipUsage	BelongMap	_IsSpecialMagicType	RepairPriceRebate	AucMountRecommendMask	BelongSchoolMask
136	绝手镖·荷落	10061	　	0	0			0	13	6	0	14	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	通用	基础	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
137	暴梨针	10062	　	0	0			0	13	6	0	8	3	200	0		0	1		0		4	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	通用	基础	历程副本								2	4	7																		735		6	0		4	0	67108863		0	1			0				1	七秀40级		1		
138	百珠囊	10063	　	0	0			0	13	6	0	14	3	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			铁珠					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
139	绝手镖·金笼	10064	　	0	0			0	13	6	0	15	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	力道	伤害	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
140	绝手镖·荷落	10065	　	0	0			0	13	6	0	15	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							通用	根骨	伤害	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
141	千机镞	10066	　	0	0			0	13	6	0	16	3	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
142	金钱镖·阳花	10067	　	0	0			0	13	6	0	16	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
143	飞骨镖	10068	　	0	0			0	13	6	0	16	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
144	暗之华	10069	　	0	0			0	13	6	0	19	3	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
145	金钱镖·阳花	10070	　	0	0			0	13	6	0	17	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
146	阿里曼飞镖	10071	　	0	0			0	13	6	0	17	3	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	通用	基础	副本								2	4	7																		735		1	0		4	0	67108863		0	0							1			1		
147	金钱镖·逢春	10072	　	0	0			0	13	6	0	17	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
148	云锦钉	10073	　	0	0			0	13	6	0	17	2	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			钉子					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
149	水柔镖	10074	　	0	0			0	13	6	0	17	2	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
150	射影钉	10075	　	0	0			0	13	6	0	18	2	200	0		0	1		0		4	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			钉子					2	4	7																		735		2	0		0	0	67108863		0	0							1			1		
151	梨花针	10076	　	0	0			0	13	6	0	18	2	200	0		0	1		0		4	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落								2	4	7																		735		2	0		0	0	67108863		0	0							1			1		
152	金钱镖·逢春	10077	　	0	0			0	13	6	0	18	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
153	开云	10078	　	0	0			0	13	6	0	21	3	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	1							1			1		
154	金钱镖·阳花	10079	　	0	0			0	13	6	0	18	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
155	铁珠·天公	10080	　	0	0			0	13	6	0	19	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
156	半月刀	10081	　	0	0			0	13	6	0	19	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
157	铁珠·碎骨	10082	　	0	0			0	13	6	0	20	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
158	傲鹰	10083	　	0	0			0	13	6	0	23	3	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	1							1			1		
159	铁珠·碎骨	10084	　	0	0			0	13	6	0	20	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
160	霸王镖	10085	　	0	0			0	13	6	0	22	2	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	1							1			1		
161	蝴蝶镖	10086	　	0	0			0	13	6	0	22	2	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	1							1			1		
162	浮光刀	10087	　	0	0			0	13	6	0	22	2	200	0		0	1		0		4	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞刀					2	4	7																		735		2	0		0	0	67108863		0	1							1			1		
163	蝗雨镖	10088	　	0	0			0	13	6	0	22	2	200	0		0	1		0		4	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖					2	4	7																		735		2	0		0	0	67108863		0	1							1			1		
164	铁珠·天公	10089	　	0	0			0	13	6	0	21	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
165	铁珠·碎骨	10090	　	0	0			0	13	6	0	21	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	1							1			1		
166	莲芯	10091	　	0	0			0	13	6	0	25	3	200	0		0	1		0		3	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	1							1			1		
167	铁珠·碎骨	10092	　	0	0			0	13	6	0	22	2	200	0		0	1		0		2	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	1							1			1		
168	悲鸣	10093	　	0	0			0	13	6	0	57	3	200	0		0	1		0		3	atRangeWeaponDamageBase	2	2	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	副本								2	4	7																		735		1	0		4	0	67108863		0	1							1			1		
169	铁笛	24748	　	701	0			0	0	10	3	10	1	191	47		0	1		0		1	atMeleeWeaponDamageBase	1	1	atMeleeWeaponDamageRand	1	1	atMeleeWeaponAttackSpeedBase	16	16										5	1											478	106165	0	0	0	0	0	0	0	0	0	0							——	——	——	商店								1	8	7												0	0	0	0	0	0	735	16	0	0		0	6	67108863		0	0							1		0	1	1024	8388607
170	蛇型笛	24749	　	703	0			0	0	10	4	13	1	247	60		0	1		0		1	atMeleeWeaponDamageBase	1	1	atMeleeWeaponDamageRand	1	1	atMeleeWeaponAttackSpeedBase	16	16										5	1											478	106151	0	0	0	0	0	0	0	0	0	0							——	——	——	商店								1	8	7												0	0	0	0	0	0	735	16	0	0		0	6	67108863		0	0							1		0	1	1024	8388607
171	点钢笛	24750	　	704	0			0	0	10	5	16	1	307	73		0	1		0		1	atMeleeWeaponDamageBase	1	1	atMeleeWeaponDamageRand	1	1	atMeleeWeaponAttackSpeedBase	16	16										5	1											1	106153	0	0	0	0	0	0	0	0	0	0							——	——	——	商店								1	8	7												0	0	0	0	0	0	735	16	0	0		0	6	67108863		0	0							1		0	1	1024	8388607
172	锥笛	24751	　	706	0			0	0	10	7	19	1	372	86		0	1		0		1	atMeleeWeaponDamageBase	1	1	atMeleeWeaponDamageRand	1	1	atMeleeWeaponAttackSpeedBase	16	16										5	1											1	106154	0	0	0	0	0	0	0	0	0	0							——	——	——	商店								1	8	7												0	0	0	0	0	0	735	16	0	0		0	6	67108863		0	0							1		0	1	1024	8388607
173	虚空菩提子	10098	　	0	0			0	13	6	0	30	2	200	0		0	1		0		4	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	1											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	副本								2	4	7																		735		2	0		4	0	67108863		0	1							1			1		
