ID	Name	UiID	SchoolMask	2_1	2_2	2_3	2_4	3_1	3_2	3_3	3_4	4_1	4_2	4_3	4_4	5_1	5_2	5_3	5_4	6_1	6_2	6_3	6_4	7_1	7_2	7_3	7_4	8_1	8_2	8_3	8_4	9_1	9_2	9_3	9_4	10_1	10_2	10_3	10_4	11_1	11_2	11_3	11_4	12_1	12_2	12_3	12_4	13_1	13_2	13_3	13_4	14_1	14_2	14_3	14_4	15_1	15_2	15_3	15_4	16_1	16_2	16_3	16_4	17_1	17_2	17_3	17_4	18_1	18_2	18_3	18_4	19_1	19_2	19_3	19_4	20_1	20_2	20_3	20_4	21_1	21_2	21_3	21_4	22_1	22_2	22_3	22_4	23_1	23_2	23_3	23_4	24_1	24_2	24_3	24_4
91	T0_cyj_e	15769	0	26280								26360								26369																																																																											
92	T0_tcf	15770	0	26298								26384								26272																																																																											
93	T1_whzl	15771	0	26250				26295				26464				26256				26461																																																																											
94	T1_whg	15772	0	26259				26305				26362				26285				26453	23655																																																																										
95	T1_tcf	15773	0	26270				26305				26364				26240				26363																																																																											
96	T1_tcg	15774	0	26270				26305				26361				26249				26454																																																																											
97	T1_qxzl	15775	0	26250				26295				26463				26262				26461																																																																											
98	T1_qxg	15776	0	26276				26305				26358				26294				26457																																																																											
99	T1_slf	15777	0	26271				26305				26364				26240				26451																																																																											
100	T1_slg	15778	0	26271				26305				26357				26378				26458	17100																																																																										
101	T1_cyq	15779	0	26259				26305				26359				26256				26456	30049																																																																										
102	T1_cyj	15780	0	26270				26305				26360				26249				26455																																																																											
103	T2_whzl	15781	0	26263								26366								26461																																																																											
104	T2_whg	15782	0	26299								26366								26453	23655																																																																										
105	T2_tcf	15783	0	26299								26437								26363																																																																											
106	T2_tcg	15784	0	26299								26366								26454																																																																											
107	T2_qxzl	15785	0	26263								26366								26461																																																																											
108	T2_qxg	15786	0	26299								26366								26457																																																																											
109	T2_slf	15787	0	26299								26437								26451																																																																											
110	T2_slg	15788	0	26299								26366								26458	17100																																																																										
111	T2_cyq	15789	0	26299								26366								26456	30049																																																																										
112	T2_cyj	15790	0	26299								26366								26455																																																																											
113	T3_tcf	15791	0	26267								26367								26363																																																																											
114	T3_cyj	15792	0	26267								26368								26455																																																																											
115	T3_cyq	15793	0	26267								26368								26456	30049																																																																										
116	T3_qxzl	15794	0	26292								26368								26461																																																																											
117	T3_whzl	15795	0	26292								26368								26461																																																																											
118	T3_whg	15796	0	26267								26368								26453	23655																																																																										
119	T3_qxg	15797	0	26267								26368								26457																																																																											
120	T3_slf	15798	0	26267								26367								26451																																																																											
121	T3_slg	15799	0	26267								26368								26458	17100																																																																										
122	T3_tcg	18608	0	26267								26368								26454																																																																											
123	师徒内功饰品套	19351	0	26246				26420				26236												0				0				0				0				0				0				0																																															
124	缝纫之珠袖红纱	19358	0					26370																0				0				0				0				0				0				0																																															
125	缝纫之天宝	19359	0					26371																0				0				0				0				0				0				0																																															
126	缝纫之古月	19360	0					26372																0				0				0				0				0				0				0																																															
127	师徒外功饰品套	19365	0	26237				26419				26235												0				0				0				0				0				0				0																																															
128	元旦活动套	20065	0	26374				26376																0				0				0				0				0				0				0																																															
129	沐雪	65527	0	26306								26288												0				0				0				0				0				0				0																																															
130	怀雪	65528	0	26293								26288												0				0				0				0				0				0				0																																															
131	晨钟	65529	0	26355								26288												0				0				0				0				0				0				0																																															
132	溪雨	65530	0	26291								26288												0				0				0				0				0				0				0																																															
133	紫夜	65531	0	26293								26288												0				0				0				0				0				0				0																																															
134	唐棣	65532	0	26306								26288												0				0				0				0				0				0				0																																															
135	刀宗武道·藏剑	2568	0	26401								26421								26281				0				0				0				0				0				0				0																																															
136	昆仑墟藏·藏剑	2569	0	26401								26421								26281				0				0				0				0				0				0				0																																															
137	S0.5_恶人谷_cj	2574	0	26402								26352								26317				0				0				0				0				0				0				0																																															
138	S0_恶人谷_cj魂殇逆风·血锋	2571	0	26402								26424								26336				0				0				0				0				0				0				0																																															
139	S0.5_浩气盟_cj	2573	0	26402								26352								26317																																																																											
140	S0_浩气盟_cj清风明月·撼岳	2570	0	26402								26424								26336																																																																											
141	T0_cj	2572	0	26298								26391								26385																																																																											
142	T1_cj	2575	0	26270				26305				26391				26303				26459	29725																																																																										
143	T2_cj	2576	0	26299								26366								26459	29725																																																																										
144	T3_cj	2577	0	26267								26368								26459	29725																																																																										
145	历程-天策外功	1751	0	26290								26385																																																																																			
146	历程-天策防御	1753	0	26243								26384																																																																																			
147	历程-五毒内功	1755	0	26416								26385																																																																																			
148	历程-五毒治疗	1756	0	26345								26385																																																																																			
149	历程-少林内功	1757	0	26356								26385																																																																																			
150	历程-少林防御	1759	0	26243								26384																																																																																			
151	历程-万花内功	1762	0	26344								26385																																																																																			
152	历程-万花治疗	1764	0	26345								26385																																																																																			
153	历程-七秀内功	1765	0	26307								26385																																																																																			
154	历程-七秀治疗	1766	0	26345								26385																																																																																			
155	历程-纯阳外功	1767	0	26290								26385																																																																																			
156	历程-纯阳内功	1844	0	26344								26385																																																																																			
157	历程-藏剑外功	1846	0	26290								26385																																																																																			
158	S1_浩气盟_Slg	1845	0	26405								26342								26341																																																																											
159	S1_浩气盟_tcg	1860	0	26406								26342								26341																																																																											
160	S1_浩气盟_whg	1946	0	26407								26342								26341																																																																											
161	S1_浩气盟_whzl	1949	0	26407								26342								26341																																																																											
162	S1_浩气盟_cj	1952	0	26402								26342								26341																																																																											
163	S1.5_恶人谷_cyj	1955	0	26403								26337								26338																																																																											
164	S1.5_恶人谷_cyq	2527	0	26408								26337								26338																																																																											
165	S1.5_恶人谷_qxg	2528	0	26404								26337								26338																																																																											
166	S1.5_恶人谷_qxzl	2529	0	35516								26337								26338																																																																											
167	S1.5_恶人谷_Slg	2530	0	26405								26337								26338																																																																											
168	S1.5_恶人谷_tcg	2531	0	26406								26337								26338																																																																											
169	S1.5_恶人谷_whg	2532	0	26407								26337								26338																																																																											
170	S1.5_恶人谷_whzl	2533	0	26407								26337								26338																																																																											
171	S1.5_恶人谷_cj	2538	0	26402								26337								26338																																																																											
172	S1.5_浩气盟_cyj	2535	0	26403								26337								26338																																																																											
173	S1.5_浩气盟_cyq	2536	0	26408								26337								26338																																																																											
174	S1.5_浩气盟_qxg	2537	0	26404								26337								26338																																																																											
175	S1.5_浩气盟_qxzl	2539	0	35516								26337								26338																																																																											
176	S1.5_浩气盟_Slg	2540	0	26405								26337								26338																																																																											
177	S1.5_浩气盟_tcg	3111	0	26406								26337								26338																																																																											
178	S1.5_浩气盟_whg	3084	0	26407								26337								26338																																																																											
179	S1.5_浩气盟_whzl	3085	0	26407								26337								26338																																																																											
180	S1.5_浩气盟_cj	3099	0	26402								26337								26338																																																																											
181	T1.5_whzl_sp	3100	0	26385																																																																																											
182	T1.5_whg_sp	3101	0	26385																																																																																											
183	T1.5_tcf_sp	3102	0	26384																																																																																											
184	T1.5_tcg_sp	3103	0	26385																																																																																											
185	T1.5_qxzl_sp	3104	0	26385																																																																																											
186	T1.5_qxg_sp	3105	0	26385																																																																																											
187	T1.5_slf_sp	3106	0	26384																																																																																											
188	T1.5_slg_sp	3107	0	26385																																																																																											
189	T1.5_cyq_sp	3108	0	26385																																																																																											
190	T1.5_cyj_sp	3109	0	26385																																																																																											
191	T1.5_cj_sp	3110	0	26385																																																																																											
192	御厨三宝_外功	3361	0	26255				26253																																																																																							
193	御厨三宝_内功	3362	0	26254				26278																																																																																							
194	御厨三宝_外防	3363	0	26255				26242																																																																																							
195	御厨三宝_治疗	3364	0	26264				26278																																																																																							
196	御厨三宝_内防	3365	0	26261				26242																																																																																							
197	御厨三宝_外功	3367	0	26255				26253																																																																																							
198	御厨三宝_外功	3368	0	26255				26253																																																																																							
199	御厨三宝_内功	3369	0	26261				26278																																																																																							
200	御厨三宝_内功	3370	0	26254				26278																																																																																							
201	御厨三宝_内功	3371	0	26260				26278																																																																																							
202	御厨三宝_治疗	3372	0	26264				26278																																																																																							
203	T1.5_whzl	3373	0	26258				26365																																																																																							
204	T1.5_whg	3374	0	26325				26362																																																																																							
205	T1.5_tcf	3376	0	26241				26364																																																																																							
206	T1.5_tcg	3375	0	26257				26361																																																																																							
207	T1.5_qxzl	3383	0	26383				26365																																																																																							
208	T1.5_qxg	3384	0	26316				26358																																																																																							
209	T1.5_slf	3385	0	26241				26364																																																																																							
210	T1.5_slg	3412	0	26409				26357																																																																																							
211	T1.5_cyq	3413	0	26258				26359																																																																																							
212	T1.5_cyj	3414	0	26257				26360																																																																																							
213	T1.5_cj	3415	0	26300				26391																																																																																							
214	蜀风·碧煌	5142	0	26346								26391								26459	29725																																																																										
215	蜀风·缚龙仙官	28482	0	26346								26359								26456	30049																																																																										
216	蜀风·伏虎真君	28483	0	26346								26360								26455																																																																											
217	蜀风·霜燕	28484	0	26346								26358								26457																																																																											
218	蜀风·湘柳	28485	0	26304								26463								26461																																																																											
219	蜀风·觉谛罗汉	28486	0	26446								26462								26451																																																																											
220	蜀风·释梵天龙	28487	0	26346								26357								26458	17100																																																																										
221	蜀风·白崖	28488	0	26436								26462								26363																																																																											
222	蜀风·舍龙	28489	0	26346								26361								26454																																																																											
223	蜀风·古尘	28490	0	26346								26362								26453	23655																																																																										
224	蜀风·聚萤	28491	0	26304								26464								26461																																																																											
225	蜀风·镇灵	28492	0	26346								26415								26460	30200																																																																										
226	蜀风·巫颂	28493	0	26304								26465								26461																																																																											
227	蚩灵·啸凌	28494	0	26353								26391								26459	29725																																																																										
228	蚩灵·昊天云	28495	0	26353								26359								26456	30049																																																																										
229	蚩灵·雷剑照天	28496	0	26353								26360								26455																																																																											
230	蚩灵·九天玄女	28497	0	26353								26358								26457																																																																											
231	蚩灵·素衣天女	28498	0	26438								26463								26461																																																																											
232	蚩灵·八支圣道	28499	0	26447								26466								26451																																																																											
233	蚩灵·迦兰陀	28500	0	26353								26357								26458	17100																																																																										
234	蚩灵·药师卫国	28501	0	26449								26466								26363																																																																											
235	蚩灵·道济扬武	28502	0	26353								26361								26454																																																																											
236	蚩灵·世南破邪	28503	0	26353								26362								26453	23655																																																																										
237	蚩灵·遂良铭星	28504	0	26438								26464								26461																																																																											
238	蚩灵·勾绞蟒鳞	28505	0	26353								26415								26460	30200																																																																										
239	蚩灵·纳魂赤珠	28506	0	26438								26465								26461																																																																											
240	南皇·帝恨	28507	0	26351								26391								26459	29725																																																																										
241	南皇·开天紫	28508	0	26351								26359								26456	30049																																																																										
242	南皇·普化天尊	28509	0	26351								26360								26455																																																																											
243	南皇·云霄青鸾	28510	0	26351								26358								26457																																																																											
244	南皇·琼霄鸿鹄	28511	0	26348								26463								26461																																																																											
245	南皇·摩诃萨陀	28512	0	26448								26467								26451																																																																											
246	南皇·世尊	28513	0	26351								26357								26458	17100																																																																										
247	南皇·忠义武圣	28514	0	26450								26467								26363																																																																											
248	南皇·霸王乌金	28515	0	26351								26361								26454																																																																											
249	南皇·澹斋临池	28516	0	26351								26362								26453	23655																																																																										
250	南皇·元常妙迹	28517	0	26348								26464								26461																																																																											
251	南皇·狞牙索命	28518	0	26351								26415								26460	30200																																																																										
252	南皇·玄鳞化龙	28519	0	26348								26465								26461																																																																											
253	壮志凌云·碧城	28520	0	26402								26315								26266																																																																											
254	壮志凌云·碧辰	28521	0	26408								26315								26266																																																																											
255	壮志凌云·扶风	28522	0	26403								26315								26266																																																																											
256	壮志凌云·娥魄	28523	0	26404								26315								26266																																																																											
257	壮志凌云·绿漪	28524	0	35516								26315								26266																																																																											
258	壮志凌云·三惠禅	28525	0	26405								26315								26266																																																																											
259	壮志凌云·扬烈	28526	0	26406								26315								26266																																																																											
260	壮志凌云·桓律	28527	0	26407								26315								26266																																																																											
261	壮志凌云·信道	28528	0	26407								26315								26266																																																																											
262	壮志凌云·谴怒	28529	0	26439								26315								26266																																																																											
263	壮志凌云·雾杳	28530	0	26439								26315								26266																																																																											
264	力挽狂澜·冶天	28531	0	26402								26319								26296																																																																											
265	力挽狂澜·玄诰	28532	0	26408								26319								26296																																																																											
266	力挽狂澜·繁阳	28533	0	26403								26319								26296																																																																											
267	力挽狂澜·湘灵	28534	0	26404								26319								26296																																																																											
268	力挽狂澜·照月	28535	0	35516								26319								26296																																																																											
269	力挽狂澜·旭光	28536	0	26405								26319								26296																																																																											
270	力挽狂澜·奇袭	28537	0	26406								26319								26296																																																																											
271	力挽狂澜·吉甫	28538	0	26407								26319								26296																																																																											
272	力挽狂澜·慎微	28539	0	26407								26319								26296																																																																											
273	力挽狂澜·蝎玄	28540	0	26439								26319								26296																																																																											
274	力挽狂澜·桂殿	28541	0	26439								26319								26296																																																																											
275	战无不胜·太甲	28542	0	26402								26323								26283																																																																											
276	战无不胜·括苍仙	28543	0	26408								26323								26283																																																																											
277	战无不胜·洞玄	28544	0	26403								26323								26283																																																																											
278	战无不胜·钩戈	28545	0	26404								26323								26283																																																																											
279	战无不胜·绛珠	28546	0	35516								26323								26283																																																																											
280	战无不胜·晦澄	28547	0	26405								26323								26283																																																																											
281	战无不胜·威辟	28548	0	26406								26323								26283																																																																											
282	战无不胜·伏乾	28549	0	26407								26323								26283																																																																											
283	战无不胜·玄风	28550	0	26407								26323								26283																																																																											
284	战无不胜·药祀	28551	0	26439								26323								26283																																																																											
285	战无不胜·听香	28552	0	26439								26323								26283																																																																											
286	南风赫炎·赤麟	28553	0	26402								26315								26266																																																																											
287	南风赫炎·灵奉	28554	0	26408								26315								26266																																																																											
288	南风赫炎·苍元	28555	0	26403								26315								26266																																																																											
289	南风赫炎·素衷	28556	0	26404								26315								26266																																																																											
290	南风赫炎·清涟	28557	0	35516								26315								26266																																																																											
291	南风赫炎·涅弘	28558	0	26405								26315								26266																																																																											
292	南风赫炎·破虏	28559	0	26406								26315								26266																																																																											
293	南风赫炎·云卿	28560	0	26407								26315								26266																																																																											
294	南风赫炎·直意	28561	0	26407								26315								26266																																																																											
295	南风赫炎·毒炽	28562	0	26439								26315								26266																																																																											
296	南风赫炎·梦泽	28563	0	26439								26315								26266																																																																											
297	气吞山河·炼渊	28564	0	26402								26319								26296																																																																											
298	气吞山河·长生	28565	0	26408								26319								26296																																																																											
299	气吞山河·天柱	28566	0	26403								26319								26296																																																																											
300	气吞山河·蛟姬	28567	0	26404								26319								26296																																																																											
301	气吞山河·耀夜	28568	0	35516								26319								26296																																																																											
302	气吞山河·魔炎	28569	0	26405								26319								26296																																																																											
303	气吞山河·震业	28570	0	26406								26319								26296																																																																											
304	气吞山河·饰邪	28571	0	26407								26319								26296																																																																											
305	气吞山河·诡局	28572	0	26407								26319								26296																																																																											
306	气吞山河·蚺丹	28573	0	26439								26319								26296																																																																											
307	气吞山河·蟾辉	28574	0	26439								26319								26296																																																																											
308	攻无不克·夏启	28575	0	26402								26323								26283																																																																											
309	攻无不克·天隐	28576	0	26408								26323								26283																																																																											
310	攻无不克·巅徊	28577	0	26403								26323								26283																																																																											
311	攻无不克·雕蝉	28578	0	26404								26323								26283																																																																											
312	攻无不克·萍姬	28579	0	35516								26323								26283																																																																											
313	攻无不克·刹颜	28580	0	26405								26323								26283																																																																											
314	攻无不克·严愎	28581	0	26406								26323								26283																																																																											
315	攻无不克·拈花	28582	0	26407								26323								26283																																																																											
316	攻无不克·雍智	28583	0	26407								26323								26283																																																																											
317	攻无不克·焦角	28584	0	26439								26323								26283																																																																											
318	攻无不克·多目	28585	0	26439								26323								26283																																																																											
319	觅山	24667	0	26279								26423																																																																																			
320	逆云	24668	0	26379								26428																																																																																			
321	浮坤	24669	0	26279								26423																																																																																			
322	玉池	24670	0	26380								26324																																																																																			
323	和霜	24671	0	26425								26430																																																																																			
324	护林	24672	0	26377								26239																																																																																			
325	悟破	24673	0	26377								26410																																																																																			
326	悍阳	24674	0	26279								26239																																																																																			
