ID	Name	UIID	AttriName	Attribute1ID	Attribute1Value1	Attribute1Value2	Score	DiamondType1	Compare1	DiamondCount1	DiamondIntensity1	Attribute2ID	Attribute2Value1	Attribute2Value2	DiamondType2	Compare2	DiamondCount2	DiamondIntensity2	Attribute3ID	Attribute3Value1	Attribute3Value2	DiamondType3	Compare3	DiamondCount3	DiamondIntensity3	ScriptName	Attribute4ID	Attribute4Value1	Attribute4Value2	RepresentIndex	RepresentID	Time	DestItemSubType	TabType	TabIndex	PackageSize	MapInvalidMask	BelongKungfuID
29	橘红绣（头部）		治疗量提升8点（头部）	atTherapyPowerBase	8	8	15																										3				0	0
30	橘红染（下装）		治疗量提升8点（下装）	atTherapyPowerBase	8	8	15																										8				0	0
31	橙红绣（头部）		永久提升内功攻击8点（头部）	atMagicAttackPowerBase	8	8	15																										3				0	0
32	橙红染（下装）		永久提升内功会心10点（下装）	atMagicCriticalStrike	10	10	8																										8				0	0
33	藏青绣（头部）		永久提升御劲5点（头部）	atToughnessBase	5	5	8																										3				0	0
34	藏青染（下装）		永久提升御劲5点（下装）	atToughnessBase	5	5	8																										8				0	0
35	海棠绣（头部）		生命永久提升3级（头部）增加外功防御1级	atMaxLifeBase	150	150	1					atPhysicsShieldBase	25	25																			3				0	0
36	海棠染（下装）		生命永久提升3级（下装）增加外功防御1级	atMaxLifeBase	150	150	1					atPhysicsShieldBase	25	25																			8				0	0
37	杏黄绣（鞋子）		跑步速度提升5%（鞋子）	atMoveSpeedPercent	56	56	5																										9				0	0
38	杏黄染（鞋子）		跑步速度提升5%（鞋子）	atMoveSpeedPercent	56	56	5																										9				0	0
39	吉黄绣（鞋子）		跑步速度提升1级内功防御提升1级	atMoveSpeedPercent	30	30	1					atMagicShield	22	22																			9				0	0
40	吉黄染（鞋子）		跑步速度提升1级内功防御提升1级	atMoveSpeedPercent	30	30	1					atMagicShield	22	22																			9				0	0
41	磨石		武器伤害永久提升1	atMeleeWeaponDamageBase	1	1	1																										0				0	0
42	润色磨石		武器永久提升外功会心5点	atPhysicsCriticalStrike	5	5	4																										0				0	0
43	铁纹甲片		护手外功攻击强度永久提升9点	atPhysicsAttackPowerBase	9	9	17																										10				0	0
44	银纹甲片		上装敏捷永久提升3点	atAgilityBase	3	3	1																										2				0	0
45	基础磨石		武器破招永久提升5	atSurplusValueBase	5	5	4																										0				0	0
46	百炼甲片		上装力道永久提升3点	atStrengthBase	3	3	11																										2				0	0
47	八瑞擦布		武器外功防御永久提升3点	atPhysicsShieldAdditional	3	3	5																										0				0	0
48	百炼银甲		上装永久增加体质5点	atVitalityBase	5	5	8																										2				0	0
49	水磨石		武器招架永久提升10	atParryBase	10	10	17																										0				0	0
50	天罡甲片		护手永久增加破招5	atSurplusValueBase	5	5	4					atSurplusValueBase	14	14																			10				0	0
51	细磨石		武器外功破防永久提升9	atPhysicsOvercomeBase	9	9	7																										0				0	0
52	耀龙银甲片		护手外功会心永久提升5	atPhysicsCriticalStrike	5	5	4																										10				0	0
53	血磨石		武器永久增加伤害4点	atMeleeWeaponDamageBase	4	4	5																										0				0	0
54	银龙战甲		上装内功防御永久提升7点	atMagicShield	7	7	12																										2				0	0
55	云龙磨石		武器永久增加御劲7	atToughnessBase	7	7	12																										0				0	0
56	精金战甲		护手永久增加御劲7	atToughnessBase	7	7	12																										10				0	0
57	龙血磨石		武器永久增加吸血效果1级	atDamageToLifeForSelf	1	1	400																										0				0	0
58	鬼虎甲片		上装全属性永久增加3点	atBasePotentialAdd	3	3	1																										2				0	0
59	磨石		武器临时伤害提高1	atMeleeWeaponDamageBase	1	1	0																									1800	0				11	0
60	海上磨石		武器临时伤害提高1	atMeleeWeaponDamageBase	1	1	0																									1800	0				11	0
61	粗砂磨石		武器临时伤害提高2	atMeleeWeaponDamageBase	2	2	0																									1800	0				11	0
62	金刚磨石		武器临时伤害提高2	atMeleeWeaponDamageBase	2	2	0																									1800	0				11	0
63	内云磨石		武器临时伤害提高3	atMeleeWeaponDamageBase	3	3	0																									1800	0				11	0
64	天台磨石		武器临时伤害提高3	atMeleeWeaponDamageBase	3	3	0																									1800	0				11	0
65	银龙磨石		武器全内功防御永久提升3点	atMagicShield	3	3	5																										0				0	0
66	银龙甲片		护手体质永久提升4点	atVitalityBase	4	4	7																										10				0	0
67	玄铁磨石		武器永久增加伤害3	atMeleeWeaponDamageBase	3	3	3																										0				0	0
68	龙台磨石		武器临时伤害提高3	atMeleeWeaponDamageBase	3	3	0																									1800	0				11	0
69	玄铁甲片		上装外功防御永久提升5点	atPhysicsShieldAdditional	5	5	8																										2				0	0
70	百鬼磨石		武器永久增加外功会心13	atPhysicsCriticalStrike	13	13	11																										0				0	0
71	獬豸甲片		上装永久增加体质6点	atVitalityBase	6	6	10																										2				0	0
72	鬼虎磨石		武器永久增加吸内效果1级	atDamageToManaForSelf	4	4	1																										0				0	0
73	龙血甲片		护手永久增加外功攻击10点	atPhysicsAttackPowerBase	10	10	19																										10				0	0
74	生皮足饰	7671		atMoveSpeedPercent	10	10	0																							29	1		15				0	0
75	生皮鞍饰	7672		atMoveSpeedPercent	10	10	0																							28	1		15				0	0
76	生皮头饰	7673		atMoveSpeedPercent	10	10	0																							27	1		15				0	0
77	赤金挂饰	7750		atAddHorseSprintPowerMax	6000	6000	0					atAddHorseSprintPowerRevive	12	12					atAddHorseSprintPowerCost	-12							atDropDefence	90	90	30	1		15	5	5132		0	0
78	熟化皮足饰	7675		atMoveSpeedPercent	10	10	0																							29	2		15				0	0
79	熟化皮鞍饰	7676		atMoveSpeedPercent	10	10	0																							28	2		15				0	0
80	熟化皮头饰	7677		atMoveSpeedPercent	10	10	0																							27	2		15				0	0
81	熟化皮胸饰	7678					0																										15				0	0
82	厚皮足饰	7679		atMoveSpeedPercent	10	10	0																							29	3		15				0	0
83	厚皮鞍饰	7680		atMoveSpeedPercent	10	10	0																							28	3		15				0	0
84	厚皮头饰	7681		atMoveSpeedPercent	10	10	0																							27	3		15				0	0
85	厚皮胸饰	7682					0																										15				0	0
86	铁纹鞍具	7683		atMoveSpeedPercent	20	20	0																							28	10		15				0	0
87	铁纹兽皮笼套	7684		atMoveSpeedPercent	20	20	0																							27	10		15				0	0
88	铁纹蹄铁	7685		atMoveSpeedPercent	20	20	0																							29	10		15				0	0
89	铁纹障泥	7686					0																							30			15				0	0
90	铁皮足饰	7687		atMoveSpeedPercent	20	20	0																							29	4		15				0	0
91	铁皮鞍饰	7688		atMoveSpeedPercent	20	20	0																							28	4		15				0	0
92	铁皮头饰	7689		atMoveSpeedPercent	20	20	0																							27	4		15				0	0
93	铁皮胸饰	7690					0																							30			15				0	0
94	硬甲足饰	7691		atMoveSpeedPercent	20	20	0																							29	5		15				0	0
95	硬甲鞍饰	7692		atMoveSpeedPercent	20	20	0																							28	5		15				0	0
96	硬甲头饰	7693		atMoveSpeedPercent	20	20	0																							27	5		15				0	0
97	硬甲胸饰	7694					0																										15				0	0
98	生铁足饰	7695		atMoveSpeedPercent	20	20	0																							29	6		15				0	0
99	生铁鞍饰	7696		atMoveSpeedPercent	20	20	0																							28	6		15				0	0
100	生铁头饰	7697		atMoveSpeedPercent	20	20	0																							27	6		15				0	0
101	生铁胸饰	7698					0																										15				0	0
102	云渊足饰	7699		atMoveSpeedPercent	31	31	0																							29	7		15				0	0
103	云渊鞍饰	7700		atMoveSpeedPercent	31	31	0																							28	7		15				0	0
104	云渊头饰	7701		atMoveSpeedPercent	31	31	0																							27	7		15				0	0
105	云渊胸饰	7702					0																										15				0	0
106	碧海足饰	7703		atMoveSpeedPercent	31	31	0																							29	8		15				0	0
107	碧海鞍饰	7704		atMoveSpeedPercent	31	31	0																							28	8		15				0	0
108	碧海头饰	7705		atMoveSpeedPercent	31	31	0																							27	8		15				0	0
109	厢装挂饰	7706		atAddHorseSprintPowerMax	6000	6000	0					atAddHorseSprintPowerRevive	12	12					atAddHorseSprintPowerCost	-12							atDropDefence	90	90	30	2		15	5	5088		0	0
110	染血足饰	7707		atMoveSpeedPercent	31	31	0																							29	9		15				0	0
111	染血鞍饰	7708		atMoveSpeedPercent	31	31	0																							28	9		15				0	0
112	染血头饰	7709		atMoveSpeedPercent	31	31	0																							27	9		15				0	0
113	英雄聚义旗	7710		atAddHorseSprintPowerMax	6000	6000	0					atAddHorseSprintPowerRevive	12	12					atAddHorseSprintPowerCost	-12							atDropDefence	90	90	30	3		15	5	5092		0	0
114	精铁足饰	7711					0																							29	5		15				0	0
115	精铁鞍饰	7712					0																							28	5		15				0	0
116	精铁头饰	7713					0																							27	5		15				0	0
117	精铁胸饰	7714					0																										15				0	0
118	银龙笼套	7715		atMoveSpeedPercent	31	31	0																							27	11		15				0	0
119	银龙蹄铁	7716		atMoveSpeedPercent	31	31	0																							29	11		15				0	0
120	银龙鞍具	7717		atMoveSpeedPercent	31	31	0																							28	11		15				0	0
121	银龙障泥	7718					0																							30			15				0	0
122	黑云笼套	5820		atMoveSpeedPercent	31	31	0																							27	24		15				0	0
123	黑云蹄铁	7720		atMoveSpeedPercent	31	31	0																							29	24		15				0	0
124	黑云鞍具	7721		atMoveSpeedPercent	31	31	0																							28	24		15				0	0
125	黑云障泥	7722					0																							30			15				0	0
126	赤尘足饰	7723		atMoveSpeedPercent	41	41	0																							29	20		15				0	0
127	赤尘鞍饰	7724		atMoveSpeedPercent	41	41	0																							28	20		15				0	0
128	赤尘头饰	7725		atMoveSpeedPercent	41	41	0																							27	20		15				0	0
129	英雄结义旗	7726		atAddHorseSprintPowerMax	6000	6000	0					atAddHorseSprintPowerRevive	12	12					atAddHorseSprintPowerCost	-12							atDropDefence	90	90	30	4		15	5	5108		0	0
130	精骑足饰	7727		atMoveSpeedPercent	51	51	0																							29	19		15				0	0
131	精骑鞍饰	7728		atMoveSpeedPercent	51	51	0																							28	19		15				0	0
132	精骑头饰	7729		atMoveSpeedPercent	51	51	0																							27	19		15				0	0
133	精骑胸饰	7730					0																							30			15				0	0
134	银风笼套	7731		atMoveSpeedPercent	31	31	0																							27	23		15				0	0
135	银风蹄铁	7732		atMoveSpeedPercent	31	31	0																							29	23		15				0	0
136	银风鞍具	7733		atMoveSpeedPercent	31	31	0																							28	23		15				0	0
137	银风障泥	7734					0																							30			15				0	0
138	月骐足饰	7735		atMoveSpeedPercent	51	51	0																							29	15		15	5	5117		0	0
139	月骐鞍饰	7736		atMoveSpeedPercent	51	51	0																							28	15		15	5	5118		0	0
140	月骐头饰	7737		atMoveSpeedPercent	51	51	0																							27	15		15	5	5119		0	0
141	黑骑胸饰	7738					0																							30			15				0	0
142	幽骥足饰	7739		atMoveSpeedPercent	51	51	0																							29	16		15	5	5121		0	0
143	幽骥鞍饰	7740		atMoveSpeedPercent	51	51	0																							28	16		15	5	5122		0	0
144	幽骥头饰	7741		atMoveSpeedPercent	51	51	0																							27	16		15	5	5123		0	0
145	黑炎胸饰	7742					0																							30			15				0	0
146	明焕足饰	7743		atMoveSpeedPercent	51	51	0																							29	17		15	5	5125		0	0
147	明焕鞍饰	7744		atMoveSpeedPercent	51	51	0																							28	17		15	5	5126		0	0
148	明焕头饰	7745		atMoveSpeedPercent	51	51	0																							27	17		15	5	5127		0	0
149	踏血胸饰	7746					0																							30			15				0	0
150	奔雷足饰	73282		atMoveSpeedPercent	51	51	0																							29	18		15				0	0
151	奔雷鞍饰	73283		atMoveSpeedPercent	61	61	0																							28	18		15				0	0
152	奔雷头饰	73284		atMoveSpeedPercent	51	51	0																							27	18		15				0	0
153	奔雷胸饰	7750					0																							30			15				0	0
154	黑影足饰	7751		atMoveSpeedPercent	10	10	0																							29			15				0	0
155	黑影鞍饰	7752		atMoveSpeedPercent	10	10	0																							28			15				0	0
156	黑影头饰	7753		atMoveSpeedPercent	10	10	0																							27			15				0	0
157	黑影胸饰	7754					0																							30			15				0	0
158	黑风足饰	7755					0																							29	22		15				0	0
159	黑风鞍饰	7756					0																							28	22		15				0	0
160	黑风头饰	7757					0																							27	22		15				0	0
161	黑风胸饰	7758					0																							30			15				0	0
162	山水绣染（护手）		元气永久提升3点（护手）	atSpunkBase	3	3	11																										10				0	0
163	湛蓝绣染（护手）		力道永久提升3点（护手）	atStrengthBase	3	3	11																										10				0	0
164	翠青绣染（下装）		根骨永久提升3点（下装）	atSpiritBase	3	3	11																										8				0	0
165	山水绣染（头部）		元气永久提升3点（头部）	atSpunkBase	3	3	11																										3				0	0
166	铁血绣染（护手）		体质永久提升5点（护手）	atVitalityBase	5	5	8																										10				0	0
167	紫碧绣染（下装）		身法永久提升5点（下装）	atAgilityBase	5	5	19																										8				0	0
168	铁血绣染（头部）		体质永久提升5点（头部）	atVitalityBase	5	5	8																										3				0	0
169	紫碧甲片（腰带）		身法永久提升3点（腰带）	atAgilityBase	3	3	11																										6				0	0
170	湛蓝甲片（腰带）		力道永久提升3点（腰带）	atStrengthBase	3	3	11																										6				0	0
171	铁血甲片（上装）		体质永久提升3点（上装）	atVitalityBase	3	3	5																										2				0	0
172	紫碧甲片（头部）		身法永久提升3点（头部）	atAgilityBase	3	3	11																										3				0	0
173	翠青甲片（腰带）		根骨永久提升5点（腰带）	atSpiritBase	5	5	19																										6				0	0
174	湛蓝甲片（上装）		力道永久提升5点（上装）	atStrengthBase	5	5	19																										2				0	0
175	铁血甲片（头部）		体质永久提升5点（头部）	atVitalityBase	5	5	8																										3				0	0
176	耀华足饰	19711		atMoveSpeedPercent	41	41	0																							29	26		15	5	5067		0	0
177	耀华鞍饰	19709		atMoveSpeedPercent	41	41	0																							28	26		15	5	5065		0	0
178	耀华头饰	19710		atMoveSpeedPercent	41	41	0																							27	26		15	5	5066		0	0
179	耀华胸饰						0																							30			15				0	0
180	暗金足饰	19708		atMoveSpeedPercent	41	41	0																							29	25		15	5	5102		0	0
181	暗金鞍饰	19706		atMoveSpeedPercent	41	41	0																							28	25		15	5	5103		0	0
182	暗金头饰	19707		atMoveSpeedPercent	41	41	0																							27	25		15	5	5101		0	0
183	暗金胸饰						0																							30			15				0	0
184	精元磨石		武器内功攻击永久提升12点	atMagicAttackPowerBase	12	12	20																										0				0	0
185	劲风磨石		武器外功攻击永久提升10点	atPhysicsAttackPowerBase	10	10	20																										0				0	0
186	阿湿矩沙足饰	2622		atMoveSpeedPercent	52	52	0																							29	27		15	5	5114		0	0
187	阿湿矩沙鞍饰	2623		atMoveSpeedPercent	52	52	0																							28	27		15	5	5115		0	0
188	阿湿矩沙头饰	2621		atMoveSpeedPercent	52	52	0																							27	27		15	5	5113		0	0
189	阿湿矩沙胸饰						0																														0	0
190	线刻·旗偃		招式降低仇恨1%	atActiveThreatCoefficient	0	-10	10																										5				0	0
191	线刻·涛海		每秒回复内力3点	atManaReplenishExt	3	3	1																										5				0	0
192	线刻·文壤		每秒回复气血4点	atLifeReplenishExt	4	4	1																										5				0	0
193	线刻·金鸣		招式增加仇恨1%	atActiveThreatCoefficient	0	10	10																										5				0	0
194	战魂足饰	7747		atMoveSpeedPercent	41	41	0					atAddHorseSprintPowerRevive	6	6					atAddHorseSprintPowerMax	4000							atDropDefence	30	30	29	28		15	5	5129		0	0
195	战魂鞍饰	7748		atMoveSpeedPercent	41	41	0					atAddHorseSprintPowerRevive	6	6					atAddHorseSprintPowerMax	5500							atDropDefence	35	35	28	28		15	5	5130		0	0
196	战魂头饰	7749		atMoveSpeedPercent	41	41	0					atAddHorseSprintPowerRevive	6	6					atAddHorseSprintPowerMax	4000							atDropDefence	30	30	27	28		15	5	5131		0	0
197	战魂胸饰						0																														0	0
198	杏黄绣（头部）		体质永久提升7点（头部）	atVitalityBase	7	7	12																										3				0	0
199	莹白绣（头部）		力道永久提升5点（头部）	atStrengthBase	5	5	19																										3				0	0
200	莹白染（下装）		力道永久提升5点（下装）	atStrengthBase	5	5	19																										8				0	0
201	藏青染（腰带）		每秒内力回复5点（腰带）	atManaReplenishExt	5	5	1																										6				0	0
202	藏青绣（护手）		每秒内力回复5点（护手）	atManaReplenishExt	5	5	1																										10				0	0
203	岩蓝染（下装）		元气永久提升5点（下装）	atSpunkBase	5	5	19																										8				0	0
204	岩蓝绣（头部）		元气永久提升5点（头部）	atSpunkBase	5	5	19																										3				0	0
205	杏黄染（下装）		体质永久提升5点（下装）	atVitalityBase	5	5	8																										8				0	0
206	岐黄磨石		武器永久提升治疗量10点	atTherapyPowerBase	10	10	18																										0				0	0
207	益神甲片		每秒内力回复5点（上装）	atManaReplenishExt	5	5	1																										2				0	0
208	益元甲片		元气永久提升5点（上装）	atSpunkBase	5	5	19																										2				0	0
209	百鬼磨石		武器永久增加外功会心13点	atPhysicsCriticalStrike	13	13	11																										0				0	0
210	静气甲片		招式减少仇恨3% （上装）	atActiveThreatCoefficient	0	-45	35																										2				0	0
211	虎啸磨石		招式增加仇恨1%	atActiveThreatCoefficient	0	10	47																										0				0	0
212	亮翼足饰	22308		atMoveSpeedPercent	41	41	0																							29	29		15	5	7610		0	0
213	亮翼鞍饰	22309		atMoveSpeedPercent	41	41	0																							28	29		15	5	7611		0	0
214	亮翼头饰	22310		atMoveSpeedPercent	41	41	0																							27	29		15	5	7612		0	0
215	五行石·金（一级）	65895					0																										-1	5	6413		0	0
216	五行石·金（二级）	65897					0																										-1	5	6337		0	0
217	五行石·金（三级）	65898					0																										-1	5	6339		0	0
218	五行石·金（四级）	65899					0																										-1	5	6340		0	0
219	五行石·金（五级）	65900					0																										-1	5	6341		0	0
220	五行石·金（六级）	65901					0																										-1	5	6342		0	0
221	五行石·金（七级）	65902					0																										-1	5	6343		0	0
222	五行石·金（八级）	65903					0																										-1	5	6344		0	0
223	五行石·金（九级）	65905					0																										-1	5	6345		0	0
224	五行石·金（十级）	65906					0																										-1	5	6347		0	0
225	五行石·木（一级）	65907					0																										-1	5	6413		0	0
226	五行石·木（二级）	65908					0																										-1	5	6349		0	0
227	五行石·木（三级）	65909					0																										-1	5	6350		0	0
228	五行石·木（四级）	65910					0																										-1	5	6351		0	0
229	五行石·木（五级）	65911					0																										-1	5	6352		0	0
230	五行石·木（六级）	65912					0																										-1	5	6353		0	0
231	五行石·木（七级）	65913					0																										-1	5	6354		0	0
232	五行石·木（八级）	65914					0																										-1	5	6355		0	0
233	五行石·木（九级）	65915					0																										-1	5	6356		0	0
234	五行石·木（十级）	65916					0																										-1	5	6357		0	0
235	五行石·水（一级）	65917					0																										-1	5	6413		0	0
236	五行石·水（二级）	65918					0																										-1	5	6359		0	0
237	五行石·水（三级）	65919					0																										-1	5	6360		0	0
238	五行石·水（四级）	65920					0																										-1	5	6361		0	0
239	五行石·水（五级）	65921					0																										-1	5	6362		0	0
240	五行石·水（六级）	65922					0																										-1	5	6363		0	0
241	五行石·水（七级）	65923					0																										-1	5	6364		0	0
242	五行石·水（八级）	65924					0																										-1	5	6365		0	0
243	五行石·水（九级）	65925					0																										-1	5	6366		0	0
244	五行石·水（十级）	65926					0																										-1	5	6367		0	0
245	五行石·火（一级）	65927					0																										-1	5	6413		0	0
246	五行石·火（二级）	65928					0																										-1	5	6369		0	0
247	五行石·火（三级）	65929					0																										-1	5	6370		0	0
248	五行石·火（四级）	65930					0																										-1	5	6371		0	0
249	五行石·火（五级）	65931					0																										-1	5	6372		0	0
250	五行石·火（六级）	65932					0																										-1	5	6373		0	0
251	五行石·火（七级）	65933					0																										-1	5	6374		0	0
252	五行石·火（八级）	65934					0																										-1	5	6375		0	0
253	五行石·火（九级）	65935					0																										-1	5	6376		0	0
254	五行石·火（十级）	65936					0																										-1	5	6377		0	0
255	五行石·土（一级）	65937					0																										-1	5	6413		0	0
256	五行石·土（二级）	65938					0																										-1	5	6379		0	0
257	五行石·土（三级）	65939					0																										-1	5	6380		0	0
258	五行石·土（四级）	65940					0																										-1	5	6381		0	0
259	五行石·土（五级）	65941					0																										-1	5	6382		0	0
260	五行石·土（六级）	65942					0																										-1	5	6383		0	0
261	五行石·土（七级）	65943					0																										-1	5	6384		0	0
262	五行石·土（八级）	65944					0																										-1	5	6385		0	0
263	五行石·土（九级）	65945					0																										-1	5	6386		0	0
264	五行石·土（十级）	65946					0																										-1	5	6387		0	0
265	五行石·火（六级）	65932					0																										-1	5	7694		0	0
266	五行石·火（七级）	65933					0																										-1	5	7695		0	0
267	五行石·火（八级）	65934					0																										-1	5	7696		0	0
268	五行石·火（九级）	65935					0																										-1	5	7697		0	0
269	五行石·火（十级）	65936					0																										-1	5	7698		0	0
270	五行石·金（六级）	65901					0																										-1	5	7699		0	0
271	五行石·金（七级）	65902					0																										-1	5	7700		0	0
272	五行石·金（八级）	65903					0																										-1	5	7701		0	0
273	五行石·金（九级）	65905					0																										-1	5	7702		0	0
274	五行石·金（十级）	65906					0																										-1	5	7703		0	0
275	五行石·木（六级）	65912					0																										-1	5	7704		0	0
276	五行石·木（七级）	65913					0																										-1	5	7705		0	0
277	五行石·木（八级）	65914					0																										-1	5	7706		0	0
278	五行石·木（九级）	65915					0																										-1	5	7707		0	0
279	五行石·木（十级）	65916					0																										-1	5	7708		0	0
280	五行石·水（六级）	65922					0																										-1	5	7709		0	0
281	五行石·水（七级）	65923					0																										-1	5	7710		0	0
282	五行石·水（八级）	65924					0																										-1	5	7711		0	0
283	五行石·水（九级）	65925					0																										-1	5	7712		0	0
284	五行石·水（十级）	65926					0																										-1	5	7713		0	0
285	五行石·土（六级）	65942					0																										-1	5	7714		0	0
286	五行石·土（七级）	65943					0																										-1	5	7715		0	0
287	五行石·土（八级）	65944					0																										-1	5	7716		0	0
288	五行石·土（九级）	65945					0																										-1	5	7717		0	0
289	五行石·土（十级）	65946					0																										-1	5	7718		0	0
290	流纹磨石	7983	武器内功攻击永久提升12点	atMagicAttackPowerBase	12	12	20																										0				0	0
291	角砾磨石	7984	武器永久增加伤害4	atMeleeWeaponDamageBase	4	4	5																										0				0	0
292	玄武磨石	7985	武器内功防御永久提升8点	atMagicShield	8	8	14																										0				0	0
293	花岗磨石	7986	武器外功防御永久提升8点	atPhysicsShieldAdditional	8	8	14																										0				0	0
294	晶凝磨石	7987	武器外功破防永久提升16点	atPhysicsOvercomeBase	16	16	14																										0				0	0
295	云英磨石	7988	武器破招永久提升16点	atSurplusValueBase	16	16	14																										0				0	0
296	云锡磨石	7989	武器破招永久提升16点	atSurplusValueBase	16	16	14																										0				0	0
297	灵璧磨石	7990	武器招架永久提升8点	atParryBase	8	8	14																										0				0	0
300	五彩石·冥天	67818		atParryBase	50	50	0	5	3	6	30	atSurplusValueBase	25	25	4	3	4	10	atMeleeWeaponDamageBase	30	30	2	3	4	15												0	0
301	五行石·金（一级）	65895					0																										-1	5	8884		0	0
302	五行石·金（二级）	65897					0																										-1	5	8885		0	0
303	五行石·金（三级）	65898					0																										-1	5	8886		0	0
304	五行石·金（四级）	65899					0																										-1	5	8887		0	0
305	五行石·金（五级）	65900					0																										-1	5	8888		0	0
306	五行石·木（一级）	65907					0																										-1	5	8889		0	0
307	五行石·木（二级）	65908					0																										-1	5	8890		0	0
308	五行石·木（三级）	65909					0																										-1	5	8891		0	0
309	五行石·木（四级）	65910					0																										-1	5	8892		0	0
310	五行石·木（五级）	65911					0																										-1	5	8893		0	0
311	五行石·水（一级）	65917					0																										-1	5	8894		0	0
312	五行石·水（二级）	65918					0																										-1	5	8895		0	0
313	五行石·水（三级）	65919					0																										-1	5	8896		0	0
314	五行石·水（四级）	65920					0																										-1	5	8897		0	0
315	五行石·水（五级）	65921					0																										-1	5	8898		0	0
316	五行石·火（一级）	65927					0																										-1	5	8879		0	0
317	五行石·火（二级）	65928					0																										-1	5	8880		0	0
318	五行石·火（三级）	65929					0																										-1	5	8881		0	0
319	五行石·火（四级）	65930					0																										-1	5	8882		0	0
320	五行石·火（五级）	65931					0																										-1	5	8883		0	0
321	五行石·土（一级）	65937					0																										-1	5	8899		0	0
322	五行石·土（二级）	65938					0																										-1	5	8900		0	0
323	五行石·土（三级）	65939					0																										-1	5	8901		0	0
324	五行石·土（四级）	65940					0																										-1	5	8902		0	0
325	五行石·土（五级）	65941					0																										-1	5	8903		0	0
326	岐黄绣（上装）		气血上限永久提升78点（上装）	atMaxLifeBase	78	78	13																										2				0	0
327	岐黄绣（护手）		气血上限永久提升78点（护手）	atMaxLifeBase	78	78	13																										10				0	0
328	流纹绣（上装）		内功破防值永久提升16点（上衣）	atMagicOvercome	16	16	13																										2				0	0
329	流纹绣（护手）		内功会心值永久提升16点（护手）	atMagicCriticalStrike	16	16	13																										10				0	0
330	角砾绣（上装）		外功破防值永久提升16点（上衣）	atPhysicsOvercomeBase	16	16	13																										2				0	0
